Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
error ^nn++++=error
correction ^nn+nom+++=correction
coefficient ^nn++++=coefficient
( ^zz++++=(ECC),
ecc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
system ^nn++++=system's
's ^$++++=EXTRAWORD
rebalance ^nn+nom+++=rebalance
ratio ^nn++++=ratio
can ^md+pos+++=can
be ^vb+be+aux++=be
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
taking ^xvbg+++xvbg+=taking
the ^ati++++=the
reciprocal ^nn+nom+++=reciprocal
of ^in++++=of
the ^ati++++=the
Ecc ^np+++??+=ECC
( ^zz++++=(1/0.044197075).
1 ^zz++++=EXTRAWORD
This ^dt+dem+++=This
calculation ^nn+nom+++=calculation
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
a ^at++++=a
deviation ^nn+nom+++=deviation
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
a ^at++++=a
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
shock ^nn++++=shock
in ^in++++=in
the ^ati++++=the
foreign ^jj+atrb+++=foreign
exchange ^nn++++=exchange
rate ^nn++++=rate
is ^vbz+bez+aux++=is
expected ^vbd+vprv++xvbn+=expected
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
corrected ^vwbn+++xvbn+=corrected
within ^in++++=within
approximately ^rb+down+++=approximately
22.6 ^cd++++=22.6
days ^nns++++=days.
. ^zz++++=EXTRAWORD
