With ^in++++=With
the ^ati++++=the
expansion ^nn++++=expansion
of ^in++++=of
the ^ati++++=the
agricultural ^jj+atrb+++=agricultural
frontier ^nn+nom+++=frontier
into ^in++++=into
northern ^np++++=northern
Patagonia ^np+++??+=Patagonia
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
twentieth ^od++++=twentieth
century ^nn++++=century,
, ^zz++++=EXTRAWORD
valley ^nn++++=valley
areas ^nns++++=areas
were ^vbd+bed+aux++=were
converted ^vpsv++agls+xvbnx+=converted
into ^in++++=into
significant ^jj+atrb+++=significant
agricultural ^jj+atrb+++=agricultural
production ^nn+nom+++=production
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
consisting ^vbg+++xvbg+=consisting
of ^in++++=of
orchards ^nns++++=orchards
and ^cc++++=and
pastures ^nns++++=pastures.
. ^zz++++=EXTRAWORD
The ^ati++++=The
development ^nn+nom+++=development
of ^in++++=of
complex ^jj+atrb+++=complex
irrigation ^nn+nom+++=irrigation
infrastructure ^jj+++??+=infrastructure
supported ^jj+++xvbn+=supported
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
these ^dt+dem+++=these
agricultural ^jj+atrb+++=agricultural
activities ^nns+nom+++=activities.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-irrigated
- ^zz++++=EXTRAWORD
irrigated ^vbd+++xvbn+=EXTRAWORD
dryland ^jj+atrb++??+=dryland
areas ^nns++++=areas
were ^vbd+bed+aux++=were
utilized ^vpsv++agls+xvbnx+=utilized
for ^in++++=for
extensive ^jj++++=extensive
grazing ^jj+++xvbg+=grazing
of ^in++++=of
domestic ^jj+atrb+++=domestic
herbivores ^nns+++??+=herbivores,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
rely ^vb++++=rely
on ^in++++=on
the ^ati++++=the
spontaneous ^jj+atrb+++=spontaneous
vegetation ^nn+nom+++=vegetation
present ^vb++++=present
on ^in++++=on
the ^ati++++=the
plateau ^nn++++=plateau,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
cattle ^nns++++=cattle
rearing ^nn++++=rearing
( ^zz++++=(Zeberio
zeberio ^nn++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
