Another ^dt++++=Another
significant ^jj+atrb+++=significant
contribution ^nn+nom+++=contribution
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is
the ^ati++++=the
identification ^nn+nom+++=identification
of ^in++++=of
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions
specific ^jj++++=specific
to ^to++++=to
non ^&fw++++=non-profit
- ^zz++++=EXTRAWORD
profit ^nn++++=EXTRAWORD
organizations ^nns+nom+++=organizations
operating ^vwbg+++xvbg+=operating
in ^in++++=in
low ^jj++++=low-regulation
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
environments ^nns+nom+++=environments,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
barriers ^nns+nom+++=barriers
to ^in++++=to
information ^nn+nom+++=information
access ^nn++++=access
encountered ^vwbn+++xvbn+=encountered
in ^in++++=in
such ^abl++++=such
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
is ^vbz+bez+vrb++=is
comparable ^jj+pred+++=comparable
to ^in++++=to
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
Harris ^np++++=Harris
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
examined ^vbd+++xvbn+=examined
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions
and ^cc++++=and
information ^nn+nom+++=information
access ^nn++++=access
barriers ^nns+nom+++=barriers
in ^in++++=in
non ^&fw++++=non-profit
- ^zz++++=EXTRAWORD
profit ^nn++++=EXTRAWORD
organizations ^nns+nom+++=organizations
within ^in++++=within
highly ^rb+amp+++=highly
regulated ^vbd+++xvbn+=regulated
environments ^nns+nom+++=environments.
. ^zz++++=EXTRAWORD
