Agency ^nn++++=Agency
theory ^nn++++=theory
examines ^vbz++++=examines
the ^ati++++=the
conflicts ^nns++++=conflicts
that ^tht+rel+subj++=that
arise ^vb++++=arise
between ^in++++=between
principals ^nns+nom+++=principals
and ^cc++++=and
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
assumptions ^nns+nom+++=assumptions
and ^cc++++=and
concepts ^nns++++=concepts
are ^vb+ber+aux++=are
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
third ^nn++++=third
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
prior ^jj+atrb+++=prior
research ^nn++++=research
such ^abl++++=such
as ^cs+sub+++=as
Ho ^uh++++=Ho
and ^cc++++=and
Huang ^np+++??+=Huang
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Blevins ^np+++??+=Blevins,
, ^zz++++=EXTRAWORD
Ragozzino ^np+++??+=Ragozzino,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Eckardt ^np+++??+=Eckardt
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Balsam ^np+++??+=Balsam,
, ^zz++++=EXTRAWORD
Harris ^np++++=Harris,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saxton ^np++++=Saxton
( ^zz++++=(2020).
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
analyzes ^nns+++??+=analyzes
the ^ati++++=the
agency ^nn++++=agency
relationship ^nn+nom+++=relationship
that ^tht+rel+subj++=that
occurs ^vbz++++=occurs
when ^wrb+who+++=when
a ^at++++=a
donor ^nn++++=donor
organization ^nn+nom+++=organization
( ^zz++++=(principal)
principal ^jjb++++=EXTRAWORD
) ^zz++++=EXTRAWORD
engages ^nns+nom+++=engages
a ^at++++=a
nonprofit ^nn+++??+=nonprofit
organization ^nn+nom+++=organization
( ^zz++++=(NPO,
npo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
agent ^nn++++=agent)
) ^zz++++=EXTRAWORD
to ^to++++=to
manage ^vbi++++=manage
the ^ati++++=the
transfer ^nn+nom+++=transfer
of ^in++++=of
donations ^nns+nom+++=donations
subject ^nn++++=subject
to ^in++++=to
donor ^nn++++=donor-imposed
- ^zz++++=EXTRAWORD
imposed ^xvbn+++xvbn+=EXTRAWORD
restrictions ^nns+nom+++=restrictions.
. ^zz++++=EXTRAWORD
Effective ^jj+atrb+++=Effective
governance ^nn+nom+++=governance
mechanisms ^nns+nom+++=mechanisms
are ^vb+ber+aux++=are
posited ^vpsv++agls+xvbnx+=posited
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
resource ^nn++++=resource
misappropriation ^nn+nom+++=misappropriation
within ^in++++=within
Npos ^np+++??+=NPOs
and ^cc++++=and
to ^in++++=to
align ^nn+++??+=align
the ^ati++++=the
interests ^nns++++=interests
of ^in++++=of
executives ^nns++++=executives
with ^in++++=with
those ^dt+dem+++=those
of ^in++++=of
both ^abx++++=both
the ^ati++++=the
organization ^nn+nom+++=organization
and ^cc++++=and
its ^pp$+it+++=its
stakeholders ^nns+nom+++=stakeholders.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
availability ^nn+nom+++=availability
of ^in++++=of
governance ^nn+nom+++=governance-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
information ^nn+nom+++=information
may ^md+pos+++=may
assist ^vb++++=assist
donors ^nns++++=donors
in ^in++++=in
evaluating ^xvbg+++xvbg+=evaluating
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
that ^tht+ncmp+++=that
their ^pp$+pp3+++=their
contributions ^nns+nom+++=contributions
will ^md+prd+++=will
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
as ^cs+sub+++=as
intended ^jj+++xvbn+=intended.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
this ^dt+dem+++=this
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
the ^ati++++=the
central ^jj+atrb+++=central
hypothesis ^nn++++=hypothesis
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is:
: ^zz++++=EXTRAWORD
