2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Limit ^vb++++=Limit
fair ^jj+atrb+++=fair
dealing ^nvbg+++xvbg+=dealing:
: ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
step ^vb++++=step
addresses ^nns+nom+++=addresses
scholarly ^jj+atrb+++=scholarly
readings ^nns++++=readings
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
not ^xnot++not++=not
yet ^rb++++=yet
accessible ^jj++++=accessible
to ^in++++=to
students ^nns++++=students
through ^in++++=through
the ^ati++++=the
initial ^jj+atrb+++=initial
step ^nn++++=step.
. ^zz++++=EXTRAWORD
For ^in++++=For
these ^dt+dem+++=these
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
a ^at++++=a
targeted ^jj+atrb++xvbn+=targeted
and ^cc+phrs+++=and
limited ^jj+atrb++xvbn+=limited
application ^nn+nom+++=application
of ^in++++=of
the ^ati++++=the
fair ^nn++++=fair
dealing ^vwbg+++xvbg+=dealing
exception ^nn+nom+++=exception
under ^in++++=under
the ^ati++++=the
Copyright ^np+++??+=Copyright
Act ^nn++++=Act
is ^vbz+bez+aux++=is
proposed ^vpsv++agls+xvbnx+=proposed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fairness ^nns+nom+++=fairness
of ^in++++=of
this ^dt+dem+++=this
use ^nn++++=use
is ^vbz+bez+aux++=is
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
the ^ati++++=the
argument ^nn+nom+++=argument
that ^tht+vcmp+obj++=that
any ^dti++++=any
potential ^jj+atrb+++=potential
substantial ^jj+atrb+++=substantial
adverse ^jj+atrb+++=adverse
effect ^nn++++=effect
on ^in++++=on
publishers ^nns+nom+++=publishers
is ^vbz+bez+aux++=is
offset ^vpsv++by+xvbnx+=offset
by ^in++++=by
the ^ati++++=the
significant ^jj+atrb+++=significant
reputational ^nn+nom+++=reputational
benefits ^nns++++=benefits
authors ^nns++++=authors
gain ^vb++++=gain
when ^wrb+who+++=when
their ^pp$+pp3+++=their
work ^nn++++=work
is ^vbz+bez+aux++=is
assigned ^vpsv++agls+xvbnx+=assigned
in ^in++++=in
university ^nn+nom+++=university
courses ^nns++++=courses.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
exposure ^nn++++=exposure
can ^md+pos+++=can
contribute ^vb++++=contribute
to ^in++++=to
authors ^nns++++=authors
career ^nn++++=career
advancement ^nn+nom+++=advancement,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
indirect ^jj+atrb+++=indirect
financial ^jj+atrb+++=financial
benefits ^nns++++=benefits
that ^tht+rel+obj++=that
surpass ^nns+++??+=surpass
potential ^jj+atrb+++=potential
royalty ^nn++++=royalty
payments ^nns+nom+++=payments
and ^cc++++=and
may ^md+pos+++=may
also ^rb++splt++=also
promote ^vb++++=promote
additional ^jj+atrb+++=additional
sales ^nns++++=sales
for ^in++++=for
publishers ^nns+nom+++=publishers.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
in ^in++++=in
cases ^nns++++=cases
where ^wrb+who+++=where
authors ^nns++++=authors
have ^vb+hv+aux++=have
transferred ^vprf+++xvbnx+=transferred
their ^pp$+pp3+++=their
copyright ^nn+++??+=copyright,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Copyright ^np+++??+=Copyright
Act ^nn++++=Act
continues ^vbz++++=continues
to ^to++++=to
recognize ^vbi+vprv+++=recognize
their ^pp$+pp3+++=their
moral ^jj+atrb+++=moral
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
related ^jj+++xvbn+=related
to ^in++++=to
the ^ati++++=the
protection ^nn+nom+++=protection
of ^in++++=of
their ^pp$+pp3+++=their
honour ^nn++++=honour
or ^cc++++=or
reputation ^nn+nom+++=reputation
( ^zz++++=(section
section ^nn+nom+++=EXTRAWORD
28.2(1) ^cd++++=28.2(1)).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
justification ^nn+nom+++=justification
for ^in++++=for
fair ^nn++++=fair
dealing ^vwbg+++xvbg+=dealing,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
academic ^jj+atrb+++=academic
readings ^nns++++=readings
not ^xnot++not++=not
addressed ^vbd+++xvbn+=addressed
in ^in++++=in
the ^ati++++=the
first ^od++++=first
step ^vb++++=step,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
further ^jjb+pred+++=further
reinforced ^vpsv++by+xvbn+=reinforced
by ^in++++=by
the ^ati++++=the
subsequent ^nn++++=subsequent
step ^vb++++=step
in ^in++++=in
the ^ati++++=the
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
