It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
acknowledge ^vbi+vpub+++=acknowledge
and ^cc+phrs+++=and
incentivize ^vb++++=incentivize
the ^ati++++=the
scientific ^jj+atrb+++=scientific
contributions ^nns+nom+++=contributions
of ^in++++=of
research ^nn++++=research
communities ^nns+nom+++=communities
that ^tht+rel+obj++=that
focus ^nn++++=focus
on ^in++++=on
local ^jj+atrb+++=local
or ^cc+phrs+++=or
regional ^jj+atrb+++=regional
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
achieve ^vb++++=achieve
a ^at++++=a
more ^rbr++++=more
equitable ^jj+atrb+++=equitable
distribution ^nn+nom+++=distribution
of ^in++++=of
publications ^nns+nom+++=publications
across ^in+pl+++=across
different ^jj+atrb+++=different
languages ^nns+nom+++=languages.
. ^zz++++=EXTRAWORD
The ^ati++++=The
integration ^nn+nom+++=integration
of ^in++++=of
regional ^jj+atrb+++=regional
citation ^nn+nom+++=citation
indexes ^nns+++??+=indexes
into ^in++++=into
comprehensive ^jj+atrb+++=comprehensive
platforms ^nns++++=platforms
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science
enhances ^nns+nom+++=enhances
the ^ati++++=the
visibility ^nn+nom+++=visibility
and ^cc++++=and
inclusion ^nn++++=inclusion
of ^in++++=of
this ^dt+dem+++=this
knowledge ^nn++++=knowledge
within ^in++++=within
the ^ati++++=the
global ^jj+atrb+++=global
scientific ^jj+atrb+++=scientific
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
also ^rb++++=also
promoting ^jj+atrb+++=promoting
linguistic ^jj+atrb+++=linguistic
accessibility ^nn+nom+++=accessibility
for ^in++++=for
local ^jj+atrb+++=local
and ^cc+phrs+++=and
regional ^jj+atrb+++=regional
audiences ^nns+nom+++=audiences.
. ^zz++++=EXTRAWORD
