Resistance ^nn+nom+++=Resistance
to ^to++++=to
taking ^vbi++++=taking
the ^ati++++=the
exam ^nn++++=exam
has ^vbz+hvz+aux++=has
highlighted ^vprf+++xvbnx+=highlighted
existing ^jj+atrb++xvbg+=existing
inequalities ^nns+nom+++=inequalities
related ^vbd+++xvbn+=related
to ^in++++=to
candidates ^nns+nom+++=candidates
social ^jj+atrb+++=social
vulnerability ^nn+nom+++=vulnerability,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
arising ^jj+++xvbg+=arising
from ^in++++=from
suspended ^vbd+++xvbn+=suspended
classes ^nns++++=classes
and ^cc++++=and
increased ^jj+atrb++xvbn+=increased
digital ^jj+atrb+++=digital
exclusion ^nn++++=exclusion
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
Saboia ^np+++??+=Saboia
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
documented ^vbd+++xvbn+=documented
the ^ati++++=the
situation ^nn+nom+++=situation
of ^in++++=of
residents ^nns++++=residents
in ^in++++=in
the ^ati++++=the
favelas ^nns+++??+=favelas
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
demonstrating ^vbg+++xvbg+=demonstrating
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
prospects ^nns++++=prospects
for ^in++++=for
accessing ^xvbg+++xvbg+=accessing
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
are ^vb+ber+aux++=are
adversely ^rb++splt++=adversely
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
limited ^jj+atrb++xvbn+=limited
access ^nn++++=access
to ^in++++=to
both ^abx++++=both
synchronous ^jj+atrb+++=synchronous
and ^cc+phrs+++=and
asynchronous ^jj+atrb+++=asynchronous
online ^nn++++=online
preparatory ^jj+atrb+++=preparatory
courses ^nns++++=courses
for ^in++++=for
the ^ati++++=the
enem ^np++++=ENEM
examination ^nn+nom+++=examination.
. ^zz++++=EXTRAWORD
