Emerging ^vbg+++xvbg+=Emerging
countries ^nns++++=countries
such ^abl++++=such
as ^ql++++=as
Brazil ^np++++=Brazil
continue ^vb++++=continue
to ^to++++=to
experience ^nn+nom+++=experience
an ^at++++=an
epidemiological ^jj+atrb+++=epidemiological
transition ^nn+nom+++=transition
driven ^vwbn+++xvbn+=driven
by ^in++++=by
population ^nn+nom+++=population
aging ^vwbg+++xvbg+=aging
and ^cc++++=and
characterized ^vpsv++by+xvbn+=characterized
by ^in++++=by
a ^at++++=a
triple ^jj+atrb+++=triple
burden ^nn++++=burden
of ^in++++=of
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
includes ^vb++++=includes
acute ^jj+atrb+++=acute
health ^nn++++=health
conditions ^nns+nom+++=conditions
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
infectious ^jj+atrb+++=infectious
diseases ^nns++++=diseases),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
external ^jj+atrb+++=external
causes ^nns++++=causes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chronic ^jj+atrb+++=chronic
health ^nn++++=health
conditions ^nns+nom+++=conditions
that ^tht+rel+subj++=that
require ^vb+vsua+++=require
ongoing ^jj+atrb++xvbg+=ongoing
care ^nn++++=care,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
necessitate ^nn+nom+++=necessitate
a ^at++++=a
robust ^jj+atrb+++=robust
primary ^jj+atrb+++=primary
health ^nn++++=health
care ^nn++++=care
( ^zz++++=(PHC)
phc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
system ^nn++++=system.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Phc ^np+++??+=PHC
services ^nns++++=services
in ^in++++=in
Brazil ^np++++=Brazil
remain ^vb++++=remain
predominantly ^rb++++=predominantly
oriented ^jj+++xvbn+=oriented
toward ^in++++=toward
the ^ati++++=the
management ^nn+nom+++=management
of ^in++++=of
acute ^jj+atrb+++=acute
conditions ^nns+nom+++=conditions
and ^cc++++=and
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
ineffective ^jj+pred+++=ineffective
in ^in++++=in
addressing ^xvbg+++xvbg+=addressing
health ^nn++++=health
conditions ^nns+nom+++=conditions
that ^tht+rel+subj++=that
require ^vb+vsua+++=require
continuous ^jj+atrb+++=continuous
and ^cc+phrs+++=and
coordinated ^jj+atrb+++=coordinated
care ^nn++++=care.
. ^zz++++=EXTRAWORD
