Data ^nns++++=Data
collection ^nn+nom+++=collection
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
through ^in++++=through
invitations ^nns+nom+++=invitations
distributed ^vwbn+++xvbn+=distributed
via ^in++++=via
social ^jj+atrb+++=social
networks ^nns++++=networks,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
Facebook ^np+++??+=Facebook
and ^cc++++=and
Instagram ^np+++??+=Instagram.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
received ^vbd+++xvbn+=received
approval ^nn+nom+++=approval
from ^in++++=from
the ^ati++++=the
National ^jj+atrb+++=National
Research ^nn++++=Research
Ethics ^nn++++=Ethics
Committee ^nn+nom+++=Committee
( ^zz++++=(CONEP)
conep ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
under ^in++++=under
approval ^nn+nom+++=approval
number ^nn++++=number
[ ^zz++++=[omitted
omitted ^vprf+++xvbn+=EXTRAWORD
for ^in++++=for
evaluation ^nn+nom+++=evaluation].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
online ^nn+++??+=online
questionnaire ^nn++++=questionnaire
targeted ^vbd+++xvbn+=targeted
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
participants ^nns+nom+++=participants
were ^vbd+bed+aux++=were
encouraged ^vpsv++agls+xvbnx+=encouraged
to ^to+vcmp+++=to
share ^vbi++++=share
the ^ati++++=the
survey ^nn++++=survey
with ^in++++=with
others ^aps++++=others
in ^in++++=in
their ^pp$+pp3+++=their
social ^jj+atrb+++=social
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
A ^at++++=A
Free ^jj+atrb+++=Free
and ^cc+phrs+++=and
Informed ^jj+atrb++xvbn+=Informed
Consent ^nn++++=Consent
Form ^nn++++=Form
was ^vbd+bedz+aux++=was
presented ^vpsv++agls+xvbnx+=presented
at ^rb++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
questionnaire ^nn++++=questionnaire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
completion ^nn+nom+++=completion
was ^vbd+bedz+aux++=was
permitted ^vpsv++agls+xvbnx+=permitted
only ^rb+down+++=only
after ^cs+sub+++=after
participants ^nns+nom+++=participants
provided ^vbd+vsua++xvbn+=provided
consent ^nn++++=consent.
. ^zz++++=EXTRAWORD
The ^ati++++=The
questionnaire ^nn++++=questionnaire
was ^vbd+bedz+aux++=was
designed ^vpsv++agls+xvbnx+=designed
as ^ql++++=as
a ^at++++=a
brief ^nn++++=brief
screening ^vwbg+++xvbg+=screening
tool ^nn++++=tool,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
average ^jj+atrb+++=average
completion ^nn+nom+++=completion
time ^nn++++=time
of ^in++++=of
five ^cd++++=five
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
as ^in++++=as
recorded ^vpsv++agls+xvbn+=recorded
automatically ^rb++++=automatically
by ^in++++=by
the ^ati++++=the
data ^nns++++=data
collection ^nn+nom+++=collection
platform ^nn++++=platform.
. ^zz++++=EXTRAWORD
