A ^at++++=A
page ^nn++++=page
rate ^nn++++=rate
of ^in++++=of
$ ^zz++++=$0.021
0.021 ^nn+++??+=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
evenly ^rb++splt++=evenly
allocated ^vpsv++agls+xvbnx+=allocated
among ^in++++=among
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
publishers ^nns+nom+++=publishers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Access ^nn++++=Access
Copyright ^np+++??+=Copyright,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
$ ^zz++++=$0.007
0.007 ^nn+++??+=EXTRAWORD
per ^nnu++++=per
page ^nn++++=page
for ^in++++=for
each ^dt++++=each
party ^nn++++=party.
. ^zz++++=EXTRAWORD
The ^ati++++=The
$ ^zz++++=$0.007
0.007 ^nn+++??+=EXTRAWORD
per ^nnu++++=per
page ^nn++++=page
received ^vwbn+++xvbn+=received
by ^in++++=by
authors ^nns++++=authors
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
with ^in++++=with
the ^ati++++=the
typical ^jj+atrb+++=typical
royalty ^nn++++=royalty
from ^in++++=from
a ^at++++=a
paperback ^nn++++=paperback
sale ^nn++++=sale
in ^in++++=in
a ^at++++=a
bookstore ^nn+++??+=bookstore
and ^cc++++=and
aligns ^nns+++??+=aligns
with ^in++++=with
Access ^nn++++=Access
Copyright ^np+++??+=Copyright
s ^zz++++=s
35 ^cd++++=35
percent ^nnu++++=percent
administrative ^jj+atrb+++=administrative
holdback ^nn+++??+=holdback
as ^cs+sub+++=as
outlined ^jj+++xvbn+=outlined
in ^in++++=in
the ^ati++++=the
Publisher ^nn+nom+++=Publisher
Distribution ^nn+nom+++=Distribution
Guidelines ^np+++??+=Guidelines
( ^zz++++=(2020).
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
distribution ^nn+nom+++=distribution
is ^vbz+bez+vrb++=is
slightly ^rb+down+++=slightly
less ^ql++++=less
favorable ^&fw++++=favorable
to ^in++++=to
publishers ^nns+nom+++=publishers
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
more ^rbr++++=more
common ^jj++++=common
60 ^cd++++=60/40
split ^nn+++xvbn+=split
between ^in++++=between
publishers ^nns+nom+++=publishers
and ^cc++++=and
authors ^nns++++=authors
under ^in++++=under
Access ^nn++++=Access
Copyright ^np+++??+=Copyright;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
calculations ^nns+nom+++=calculations
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
debate ^nn++++=debate
and ^cc++++=and
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
critiqued ^jj++++=critiqued
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
( ^zz++++=(Geist,
geist ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
