( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Media ^nns++++=Media
articles ^nns++++=articles
were ^vbd+bed+aux++=were
identified ^vpsv++by+xvbnx+=identified
by ^in++++=by
the ^ati++++=the
title ^nn++++=title
of ^in++++=of
the ^ati++++=the
non ^&fw++++=non-academic
- ^zz++++=EXTRAWORD
academic ^jj+atrb+++=EXTRAWORD
publication ^nn+nom+++=publication.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
media ^nn++++=media
outlet ^nn++++=outlet
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
already ^rb++++=already
recognized ^vbd+vprv++xvbn+=recognized,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
name ^nn++++=name
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
recorded ^vpsv++agls+xvbnx+=recorded.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
determining ^xvbg+++xvbg+=determining
page ^nn++++=page
count ^nn++++=count,
, ^zz++++=EXTRAWORD
a ^at++++=a
single ^jj+atrb+++=single
screen ^nn++++=screen-full
- ^zz++++=EXTRAWORD
full ^jj++++=EXTRAWORD
of ^in++++=of
text ^nn++++=text
was ^vbd+bedz+aux++=was
used ^vbd+++xvbn+=used
as ^ql++++=as
the ^ati++++=the
standard ^jj+atrb+++=standard
unit ^nn++++=unit.
. ^zz++++=EXTRAWORD
