Immersion ^nn++++=Immersion
treatments ^nns+nom+++=treatments
involving ^vwbg+++xvbg+=involving
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
liquid ^jj+atrb+++=liquid
detergent ^nn++++=detergent
for ^in++++=for
60 ^cd++++=60
seconds ^nns++++=seconds
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
0.2 ^nn+++??+=0.2%
% ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
for ^in++++=for
either ^dtx++++=either
2 ^zz++++=2
or ^cc++++=or
5 ^zz++++=5
minutes ^nns++++=minutes
were ^vbd+bed+vrb++=were
effective ^jj+pred+++=effective
in ^in++++=in
eliminating ^xvbg+++xvbg+=eliminating
ciliates ^nns+nom+++=ciliates,
, ^zz++++=EXTRAWORD
microcrustaceans ^nns+nom+++=microcrustaceans,
, ^zz++++=EXTRAWORD
nematodes ^nns+++??+=nematodes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
small ^jj+atrb+++=small
gastropods ^nns+++??+=gastropods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
significant ^jj+atrb+++=significant
reduction ^nn+nom+++=reduction
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
annelids ^nns+++??+=annelids
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
treatment ^nn+nom+++=treatment
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
thalli ^nn+++??+=thalli
immersion ^nn++++=immersion
in ^in++++=in
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
liquid ^jj+atrb+++=liquid
detergent ^nn++++=detergent
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
0.2 ^nn+++??+=0.2%
% ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
for ^in++++=for
1 ^zz++++=1
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
demonstrated ^j+++xvbn+=demonstrated
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
effectiveness ^nns+nom+++=effectiveness
in ^in++++=in
contaminant ^jj+atrb+++=contaminant
elimination ^nn+nom+++=elimination.
. ^zz++++=EXTRAWORD
Small ^jj+atrb+++=Small
gastropods ^nns+++??+=gastropods
were ^vbd+bed+aux++=were
completely ^rb+amp+splt++=completely
eliminated ^vpsv++agls+xvbnx+=eliminated
in ^in++++=in
all ^abn++++=all
treatments ^nns+nom+++=treatments
that ^tht+rel+subj++=that
included ^vprf+++xvbn+=included
0.2 ^nn++++=0.2%
% ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
