With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
analyze ^vb+++??+=analyze
the ^ati++++=the
structure ^nn++++=structure
of ^in++++=of
each ^dt++++=each
type ^nn++++=type
of ^in++++=of
appositive ^nn++++=appositive
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
distinct ^jj+atrb+++=distinct
derivational ^nn+nom+++=derivational
processes ^nns+nom+++=processes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
examples ^nns++++=examples
in ^in++++=in
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
represent ^vb++++=represent
appositive ^jj+atrb+++=appositive
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
assumed ^vpsv++agls+xvbnx+=assumed
to ^to+vcmp+++=to
involve ^vbi++++=involve
a ^at++++=a
head ^nn++++=head-raising
- ^zz++++=EXTRAWORD
raising ^jj+atrb++xvbg+=EXTRAWORD
operation ^nn+nom+++=operation
in ^in++++=in
their ^pp$+pp3+++=their
derivation ^nn+nom+++=derivation
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Kayne ^np+++??+=Kayne,
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
examples ^nns++++=examples
( ^zz++++=(10)
10 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(11)a
11)a ^cd++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
involve ^vbi++++=involve
any ^dti++++=any
relativization ^nn+nom+++=relativization
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
derivational ^jj+atrb+++=derivational
process ^nns+nom+++=process
for ^in++++=for
( ^zz++++=(10)b
10)b ^cd++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(11)b
11)b ^cd++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
described ^vpsv++agls+xvbn+=described
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
