Regarding ^in++++=Regarding
the ^ati++++=the
total ^jj++++=total
length ^rb++++=length
of ^in++++=of
common ^jj+atrb+++=common
rue ^npl++++=rue
seedlings ^nns+nom+++=seedlings
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2a ^cd++++=2a),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
exposure ^nn++++=exposure
to ^to++++=to
- ^zz++++=-0.4
0.4 ^nn+++??+=EXTRAWORD
Mpa ^np+++??+=MPa
Nacl ^np+++??+=NaCl
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
reduction ^nn+nom+++=reduction
from ^in++++=from
5.1 ^cd++++=5.1
cm ^nnu++++=cm
in ^in++++=in
the ^ati++++=the
control ^nn++++=control
group ^nn++++=group
to ^to++++=to
1.14 ^cd++++=1.14
cm ^nnu++++=cm.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
no ^at++++=no
normal ^jj+atrb+++=normal
seedlings ^nns+nom+++=seedlings
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
following ^jj+atrb++xvbg+=following
exposure ^nn++++=exposure
to ^to++++=to
- ^zz++++=-0.3
0.3 ^nn+++??+=EXTRAWORD
Mpa ^np+++??+=MPa
Cacl2 ^np+++??+=CaCl2.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dry ^jj+atrb+++=dry
weight ^nn++++=weight
of ^in++++=of
seedlings ^nns+nom+++=seedlings
decreased ^vbd+++xvbn+=decreased
from ^in++++=from
0.9 ^nn+++??+=0.9
mg ^nnu++++=mg
in ^in++++=in
the ^ati++++=the
control ^nn++++=control
to ^in++++=to
0 ^zz++++=0
mg ^nnu++++=mg
when ^wrb+who+++=when
subjected ^xvbn+++xvbn+=subjected
to ^in++++=to
the ^ati++++=the
calcium ^nn++++=calcium
chloride ^nn++++=chloride
solution ^nn+nom+++=solution
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2b ^cd++++=2b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Nacl ^np+++??+=NaCl
treatment ^nn+nom+++=treatment,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
seedling ^nn+nom+++=seedling
length ^nn++++=length
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
difference ^nn+nom+++=difference
in ^in++++=in
dry ^jj+atrb+++=dry
weight ^nn++++=weight
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
control ^nn++++=control
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2b ^cd++++=2b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++tht0+xvbnx+=noted
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
very ^ql+amp+++=very
small ^jj+atrb+++=small
sample ^nn++++=sample
mass ^nn++++=mass
( ^zz++++=(in
in ^in++++=EXTRAWORD
the ^ati++++=the
milligram ^nn+++??+=milligram
range ^nn++++=range),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
potential ^jj+atrb+++=potential
errors ^nns++++=errors
related ^vbd+++xvbn+=related
to ^in++++=to
human ^jj++++=human
handling ^jj+++xvbg+=handling
or ^cc++++=or
equipment ^nn+nom+++=equipment
limitations ^nns+nom+++=limitations
may ^md+pos+++=may
have ^vb+hv+vrb++=have
affected ^jj++++=affected
the ^ati++++=the
accuracy ^nn+nom+++=accuracy
of ^in++++=of
the ^ati++++=the
dry ^jj+atrb+++=dry
weight ^nn++++=weight
measurements ^nns+nom+++=measurements.
. ^zz++++=EXTRAWORD
