Among ^in++++=Among
the ^ati++++=the
health ^nn++++=health
conditions ^nns+nom+++=conditions
that ^tht+rel+subj++=that
require ^vb+vsua+++=require
continuous ^jj+atrb+++=continuous
care ^nn++++=care
at ^rb++++=at
the ^ati++++=the
primary ^jj+atrb+++=primary
health ^nn++++=health
care ^nn++++=care
( ^zz++++=(PHC)
phc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
level ^nn++++=level,
, ^zz++++=EXTRAWORD
prenatal ^jj+atrb+++=prenatal
care ^nn++++=care,
, ^zz++++=EXTRAWORD
diabetes ^nn++++=diabetes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hypertension ^nn+++??+=hypertension
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
significant ^jj+pred+++=significant.
. ^zz++++=EXTRAWORD
In ^in++++=In
December ^nr+nom+++=December
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health
initiated ^vbd+++xvbn+=initiated
a ^at++++=a
reform ^nn++++=reform
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Phc ^np+++??+=PHC
system ^nn++++=system
with ^in++++=with
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
improving ^xvbg+++xvbg+=improving
access ^nn++++=access
and ^cc++++=and
efficiency ^nn++++=efficiency.
. ^zz++++=EXTRAWORD
As ^in++++=As
part ^nn++++=part
of ^in++++=of
this ^dt+dem+++=this
reform ^nn++++=reform,
, ^zz++++=EXTRAWORD
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
indicators ^nns++++=indicators
was ^vbd+bedz+aux++=was
introduced ^vpsv++agls+xvbnx+=introduced
and ^cc+phrs+++=and
linked ^vpsv++agls+xvbn+=linked
to ^in++++=to
a ^at++++=a
pay ^vb++++=pay-for-performance
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
performance ^nn+nom+++=EXTRAWORD
( ^zz++++=(P4P)
p4p ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
scheme ^nn++++=scheme
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
monitor ^vb++++=monitor
these ^dt+dem+++=these
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
an ^at++++=an
initial ^jj+atrb+++=initial
transitional ^jj+atrb+++=transitional
rule ^nn++++=rule
between ^in++++=between
different ^jj+atrb+++=different
payment ^nn+nom+++=payment
models ^nns++++=models
and ^cc++++=and
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
declaration ^nn+nom+++=declaration
of ^in++++=of
a ^at++++=a
pandemic ^nn++++=pandemic
in ^in++++=in
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
the ^ati++++=the
financial ^jj+atrb+++=financial
resources ^nns++++=resources
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
P4p ^np+++??+=P4P
program ^nn+++??+=program
were ^vbd+bed+aux++=were
fully ^rb+amp+splt++=fully
maintained ^vpsv++agls+xvbnx+=maintained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Phc ^np+++??+=PHC
providers ^nns+nom+++=providers
were ^vbd+bed+aux++=were
exempted ^vpsv++agls+xvbnx+=exempted
from ^in++++=from
reporting ^xvbg+++xvbg+=reporting
indicator ^nn++++=indicator
results ^nns++++=results.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
circumstances ^nns+nom+++=circumstances
highlight ^nn++++=highlight
the ^ati++++=the
substantial ^nn++++=substantial
challenges ^vbz++++=challenges
faced ^vpsv++by+xvbn+=faced
by ^in++++=by
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Phc ^np+++??+=PHC
model ^nn++++=model
in ^in++++=in
ensuring ^xvbg+++xvbg+=ensuring
the ^ati++++=the
quality ^nn+nom+++=quality
of ^in++++=of
services ^nns++++=services
provided ^vbd+vsua++xvbn+=provided.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
support ^nn++++=support
the ^ati++++=the
observation ^nn+nom+++=observation
that ^tht+ncmp+++=that
achieving ^vbg+++xvbg+=achieving
improved ^jj+atrb++xvbn+=improved
outcomes ^nns+++??+=outcomes
remains ^nns++++=remains
difficult ^jj++++=difficult,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic
has ^vbz+hvz+aux++=has
further ^jjb++++=further
exacerbated ^xvbn+++xvbn+=exacerbated
these ^dt+pdem+++=these
challenges ^vbz++++=challenges.
. ^zz++++=EXTRAWORD
