Moran ^np++++=Moran's
's ^$++++=EXTRAWORD
Local ^jj+atrb+++=Local
Statistics ^nn++++=Statistics
I ^pp1a+pp1+++=I
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
critical ^jj+atrb+++=critical
component ^nn++++=component
of ^in++++=of
the ^ati++++=the
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
quantifies ^vbz++++=quantifies
the ^ati++++=the
statistical ^jj+atrb+++=statistical
significance ^nn+nom+++=significance
of ^in++++=of
spatial ^jj+atrb+++=spatial
groupings ^nns++++=groupings.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
Local ^jj+atrb+++=Local
Indicators ^nns++++=Indicators
of ^in++++=of
Spatial ^jj+atrb+++=Spatial
Association ^nn+nom+++=Association
( ^zz++++=(LISA),
lisa ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
municipalities ^nns+nom+++=municipalities
of ^in++++=of
Santa ^&fw++++=Santa
Rosa ^np++++=Rosa
de ^&fw++++=de
Lima ^np++++=Lima
and ^cc++++=and
Aquidab ^np+++??+=Aquidab
exhibit ^vb++++=exhibit
the ^ati++++=the
highest ^jjt+atrb+++=highest
femicide ^nn+++??+=femicide
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
identified ^vwbn+++xvbn+=identified
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
Lisa ^np++++=LISA
clusters ^nns+nom+++=clusters
within ^in++++=within
the ^ati++++=the
study ^nn++++=study
area ^nn++++=area.
. ^zz++++=EXTRAWORD
The ^ati++++=The
significance ^nn+nom+++=significance
of ^in++++=of
this ^dt+dem+++=this
indicator ^nn++++=indicator
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
under ^in++++=under
review ^nn++++=review
suggests ^vbz+vpub+++=suggests
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
positive ^jj+atrb+++=positive
spatial ^jj+atrb+++=spatial
autocorrelation ^nn+nom+++=autocorrelation
in ^in++++=in
femicide ^nn+++??+=femicide
rates ^nns++++=rates
among ^in++++=among
municipalities ^nns+nom+++=municipalities
in ^in++++=in
the ^ati++++=the
state ^nn++++=State
of ^in++++=of
sergipe ^np++++=Sergipe.
. ^zz++++=EXTRAWORD
