Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
The ^ati++++=The
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
a ^at++++=a
publication ^nn+nom+++=publication
language ^nn+nom+++=language
is ^vbz+bez+aux++=is
exposed ^vpsv++agls+xvbnx+=exposed
varies ^vbz++++=varies
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
scientific ^jj+atrb+++=scientific
output ^nn++++=output
of ^in++++=of
each ^dt++++=each
country ^nn++++=country.
. ^zz++++=EXTRAWORD
For ^in++++=For
Brazilian ^jj++++=Brazilian
and ^cc++++=and
Us ^pp1o+pp1+++=US-American
- ^zz++++=EXTRAWORD
american ^jj+atrb+++=EXTRAWORD
publications ^nns+nom+++=publications,
, ^zz++++=EXTRAWORD
the ^ati++++=the
impact ^nn++++=impact
on ^in++++=on
audiences ^nns+nom+++=audiences
using ^vwbg+++xvbg+=using
other ^ap++++=other
languages ^nns+nom+++=languages
can ^md+pos+++=can
be ^vb+be+aux++=be
assessed ^vpsv++agls+xvbnx+=assessed
through ^in++++=through
citation ^nn+nom+++=citation
metrics ^nns++++=metrics.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
exposure ^nn++++=exposure
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
Scielo ^np+++??+=SciELO
Ci ^np+++??+=CI
is ^vbz+bez+vrb++=is
valuable ^jj+pred+++=valuable
for ^in++++=for
evaluation ^nn+nom+++=evaluation
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
for ^in++++=for
publications ^nns+nom+++=publications
written ^jj++++=written
in ^in++++=in
the ^ati++++=the
national ^jj+atrb+++=national
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
