While ^cs+sub+++=While
both ^abx++++=both
Model ^nn++++=Model
A ^at++++=A
and ^cc++++=and
Model ^nn++++=Model
B ^zz++++=B
include ^vb++++=include
two ^cd++++=two
transitions ^nns+nom+++=transitions
in ^in++++=in
the ^ati++++=the
mean ^nn++++=mean,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
Model ^nn++++=Model
B ^zz++++=B
incorporates ^nns+nom+++=incorporates
a ^at++++=a
fixed ^jj+atrb++xvbn+=fixed
trend ^nn++++=trend
component ^nn++++=component.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
Model ^nn++++=Model
C ^zz++++=C
permits ^nn++++=permits
two ^cd++++=two
transitions ^nns+nom+++=transitions
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
mean ^nn++++=mean
and ^cc++++=and
the ^ati++++=the
trend ^nn++++=trend.
. ^zz++++=EXTRAWORD
