Table ^nn++++=Table
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
incidence ^nn+nom+++=incidence
rate ^nn++++=rate
ratios ^nns++++=ratios
( ^zz++++=(IRRs)
irrs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
monthly ^jj+atrb+++=monthly
procedures ^nns++++=procedures
analyzed ^vbd+++xvbn+=analyzed,
, ^zz++++=EXTRAWORD
stratified ^jj++++=stratified
by ^in++++=by
pandemic ^jj+atrb+++=pandemic
period ^nn++++=period
and ^cc++++=and
compared ^vpsv++agls+xvbn+=compared
to ^in++++=to
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
months ^nns++++=months
in ^in++++=in
2018 ^cd++++=2018
and ^cc++++=and
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
A ^at++++=A
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
reduction ^nn+nom+++=reduction
in ^in++++=in
the ^ati++++=the
overall ^jjb+atrb+++=overall
procedure ^nn++++=procedure
rate ^nn++++=rate
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
February ^nr+nom+++=February
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.60 ^nn+++??+=0.60,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
[ ^zz++++=[0.55
0.55 ^nn+++??+=EXTRAWORD
0.64] ^nn+++??+=0.64]),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
further ^jjb+atrb+++=further
decrease ^nn++++=decrease
in ^in++++=in
March ^nr++++=March
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.48 ^nn+++??+=0.48,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
[ ^zz++++=[0.45
0.45 ^nn+++??+=EXTRAWORD
0.52 ^nn+++??+=0.52])
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
an ^at++++=an
even ^rb++++=even
more ^rbr++++=more
pronounced ^jj+atrb++xvbn+=pronounced
reduction ^nn+nom+++=reduction
in ^in++++=in
April ^nr++++=April
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.27 ^nn+++??+=0.27,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
[ ^zz++++=[0.25
0.25 ^nn+++??+=EXTRAWORD
0.29] ^nn+++??+=0.29]);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
decrease ^nn++++=decrease
remained ^vbd+++xvbn+=remained
significant ^jj++++=significant
throughout ^in++++=throughout
the ^ati++++=the
entire ^jjb+atrb+++=entire
assessment ^nn+nom+++=assessment
period ^nn++++=period.
. ^zz++++=EXTRAWORD
