Lianas ^np+++??+=Lianas
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
occurring ^vbg+++xvbgx+=occurring
life ^nn++++=life
forms ^nns++++=forms
in ^in++++=in
tropical ^jj+atrb+++=tropical
and ^cc+phrs+++=and
subtropical ^jj+atrb+++=subtropical
forests ^nns++++=forests
( ^zz++++=(Gentry
gentry ^nn++++=EXTRAWORD
& ^zz++++=&
Dodson ^np+++??+=Dodson
1987 ^cd+date+++=1987)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
occupy ^nn++++=occupy
all ^abn++++=all
forest ^npl++++=forest
strata ^nns++++=strata
through ^in++++=through
diverse ^jj+atrb+++=diverse
mechanisms ^nns+nom+++=mechanisms
of ^in++++=of
ascension ^nn++++=ascension,
, ^zz++++=EXTRAWORD
growth ^nn++++=growth
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
physiological ^jj+atrb+++=physiological
strategies ^nns+++??+=strategies
( ^zz++++=(Schnitzer
schnitzer ^jjr+atrb+++=EXTRAWORD
& ^zz++++=&
Bongers ^nns+nom++??+=Bongers
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Gerwing ^np+++??+=Gerwing
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Kazda ^np+++??+=Kazda
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Liana ^np+++??+=Liana
stems ^nns++++=stems
are ^vb+ber+vrb++=are
relatively ^rb++++=relatively
thin ^jj+pred+++=thin
and ^cc++++=and
require ^vb+vsua+++=require
external ^jj+atrb+++=external
support ^nn++++=support
to ^in++++=to
access ^nn++++=access
sunlight ^nn++++=sunlight.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
liana ^nn+++??+=liana
species ^nns++++=species
typically ^rb++++=typically
allocate ^nn+nom+++=allocate
less ^rbr++++=less
carbon ^nn++++=carbon
to ^in++++=to
stem ^nn++++=stem
growth ^nn++++=growth
and ^cc++++=and
more ^ql++++=more
to ^in++++=to
photosynthetic ^nn++++=photosynthetic
and ^cc++++=and
vascular ^nn+++??+=vascular
tissues ^nns++++=tissues
( ^zz++++=(Putz
putz ^nn+++??+=EXTRAWORD
1984 ^cd+date+++=1984;
; ^zz++++=EXTRAWORD
Schnitzer ^np+nom++??+=Schnitzer
2005 ^cd++++=2005),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
confers ^nns+nom+++=confers
a ^at++++=a
competitive ^jj+atrb+++=competitive
advantage ^nn+nom+++=advantage
over ^in++++=over
trees ^nns++++=trees
by ^in++++=by
enabling ^xvbg+++xvbg+=enabling
higher ^jjr+atrb+++=higher
growth ^nn++++=growth
rates ^nns++++=rates
( ^zz++++=(Zhu
zhu ^nn+++??+=EXTRAWORD
& ^zz++++=&
Cao ^np+++??+=Cao
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
capacity ^nn+nom+++=capacity
for ^in++++=for
both ^abx++++=both
lateral ^jj+atrb+++=lateral
and ^cc+phrs+++=and
vertical ^jj+atrb+++=vertical
growth ^nn++++=growth
facilitates ^nns+nom+++=facilitates
canopy ^nn++++=canopy
invasion ^nn++++=invasion,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
lianas ^nns+++??+=lianas
to ^to++++=to
extend ^vbi++++=extend
long ^rb++++=long
branches ^nns++++=branches
and ^cc++++=and
reach ^nn++++=reach
favorable ^&fw++++=favorable
light ^jj+atrb+++=light
conditions ^nns+nom+++=conditions
( ^zz++++=(Schnitzer
schnitzer ^jjr+atrb+++=EXTRAWORD
& ^zz++++=&
Bongers ^nns+nom++??+=Bongers
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Toledo ^np++++=Toledo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
high ^jj+atrb+++=high
light ^jj+atrb+++=light
requirements ^nns+nom+++=requirements,
, ^zz++++=EXTRAWORD
lianas ^nns+++??+=lianas
are ^vb+ber+aux++=are
often ^rb++splt++=often
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
gap ^nn++++=gap-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
pioneer ^nn+nom+++=pioneer
species ^nn++++=species
and ^cc++++=and
exhibit ^nn++++=exhibit
distribution ^nn+nom+++=distribution
patterns ^nns++++=patterns
similar ^jj++++=similar
to ^in++++=to
those ^dt+dem+++=those
of ^in++++=of
pioneer ^nn+nom+++=pioneer
tree ^nn++++=tree
species ^nn++++=species
( ^zz++++=(Putz
putz ^nn+++??+=EXTRAWORD
1984 ^cd+date+++=1984;
; ^zz++++=EXTRAWORD
Schnitzer ^np+nom++??+=Schnitzer
& ^zz++++=&
Bongers ^nns+nom++??+=Bongers
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
some ^dti++++=some
liana ^nn+++??+=liana
species ^nns++++=species
are ^vb+ber+vrb++=are
also ^rb++++=also
capable ^jj+pred+++=capable
of ^in++++=of
germinating ^xvbg+++xvbg+=germinating
and ^cc++++=and
growing ^xvbg+++xvbg+=growing
in ^in++++=in
the ^ati++++=the
understory ^nn++++=understory
( ^zz++++=(Nabe-Nielsen
nabe ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
nielsen ^np++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Sanches ^np+++??+=Sanches
& ^zz++++=&
V ^zz++++=V
lio ^&fo++++=lio
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Schnitzer ^np+nom++??+=Schnitzer
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
degree ^nn++++=degree
of ^in++++=of
shade ^nn++++=shade
tolerance ^nn+nom+++=tolerance
( ^zz++++=(Gerwing
gerwing ^jj++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
