In ^rb++++=In
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
the ^ati++++=the
main ^jjb+atrb+++=main
concepts ^nns++++=concepts
presented ^vwbn+++xvbn+=presented
in ^in++++=in
the ^ati++++=the
report ^nn++++=report
by ^in++++=by
Faure ^np+++??+=Faure
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1973)
1973 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
those ^dt+dem+++=those
of ^in++++=of
educational ^jj+atrb+++=educational
cities ^nns++++=cities
and ^cc++++=and
lifelong ^jj+atrb+++=lifelong
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
The ^ati++++=The
concept ^nn++++=concept
of ^in++++=of
educational ^jj+atrb+++=educational
cities ^nns++++=cities
refers ^vbz++++=refers
to ^in++++=to
societies ^nns++++=societies
in ^in++++=in
which ^whp+rel+pied++=which
educational ^jj+atrb+++=educational
concerns ^nns++++=concerns
are ^vb+ber+vrb++=are
central ^jj+pred+++=central
to ^in++++=to
all ^abn++++=all
social ^jj+atrb+++=social
institutions ^nns+nom+++=institutions,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
learning ^xvbg+++xvbg+=learning
and ^cc++++=and
teaching ^xvbg+++xvbg+=teaching
becoming ^vbg+++xvbg+=becoming
integral ^jj+atrb+++=integral
aspects ^nns++++=aspects
of ^in++++=of
daily ^jj+atrb+++=daily
urban ^jj+atrb+++=urban
life ^nn++++=life.
. ^zz++++=EXTRAWORD
The ^ati++++=The
concept ^nn++++=concept
of ^in++++=of
lifelong ^jj+atrb+++=lifelong
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
extends ^vbz++++=extends
learning ^nvbg+++xvbg+=learning
beyond ^in++++=beyond
formal ^jj+atrb+++=formal
schooling ^nn+nom+++=schooling
by ^in++++=by
acknowledging ^vb+++xvbg+=acknowledging
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
are ^vb+ber+vrb++=are
never ^rb++++=never
fully ^rb+amp+++=fully
formed ^jj+++xvbn+=formed;
; ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
personal ^jj+atrb+++=personal
development ^nn+nom+++=development
is ^vbz+bez+aux++=is
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
an ^at++++=an
ongoing ^nn++++=ongoing,
, ^zz++++=EXTRAWORD
continuous ^jj+atrb+++=continuous
process ^nns+nom+++=process
throughout ^in++++=throughout
life ^nn++++=life.
. ^zz++++=EXTRAWORD
