In ^rb++++=In
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
commonly ^rb++++=commonly
used ^vbd+++xvbn+=used
mobile ^jj+atrb+++=mobile
phones ^nns++++=phones
lack ^vb++++=lack
the ^ati++++=the
necessary ^jj+atrb+++=necessary
hardware ^nn++++=hardware
and ^cc++++=and
software ^nn+++??+=software
capabilities ^nns+nom+++=capabilities
to ^in++++=to
effectively ^rb++++=effectively
interact ^vb+++??+=interact
with ^in++++=with
digital ^jj+atrb+++=digital
platforms ^nns++++=platforms
or ^cc++++=or
support ^nn++++=support
the ^ati++++=the
large ^jj++++=large-volume
- ^zz++++=EXTRAWORD
volume ^nn++++=EXTRAWORD
downloads ^nns+++??+=downloads
often ^rb++++=often
required ^vbd+++xvbn+=required
for ^in++++=for
academic ^jj+atrb+++=academic
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
social ^jj+atrb+++=social
media ^nn++++=media
applications ^nns+nom+++=applications
such ^abl++++=such
as ^ql++++=as
Instagram ^np+++??+=Instagram,
, ^zz++++=EXTRAWORD
Facebook ^np+++??+=Facebook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Whatsapp ^np+++??+=WhatsApp
for ^in++++=for
instructional ^jj+atrb+++=instructional
purposes ^nns++++=purposes
may ^md+pos+++=may
increase ^vb++++=increase
usability ^nn+nom+++=usability
but ^cc++++=but
also ^rb++++=also
significantly ^rb++++=significantly
limit ^vb++++=limit
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
educational ^jj+atrb+++=educational
resources ^nns++++=resources
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
accessed ^vpsv++agls+xvbnx+=accessed.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
internet ^nn+++??+=internet
access ^nn++++=access
via ^in++++=via
mobile ^jj+atrb+++=mobile
phones ^nns++++=phones
alone ^rb++++=alone
may ^md+pos+++=may
be ^vb+be+vrb++=be
inadequate ^jj+pred+++=inadequate
to ^to++++=to
facilitate ^nn+nom+++=facilitate
full ^jj+atrb+++=full
participation ^nn+nom+++=participation
in ^in++++=in
online ^nn++++=online
educational ^jj+atrb+++=educational
activities ^nns+nom+++=activities.
. ^zz++++=EXTRAWORD
