Figure ^nn++++=Figure
2 ^zz++++=2
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
Governance ^np+nom++??+=Governance
has ^vbz+hvz+vrb++=has
a ^at++++=a
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
effect ^nn++++=effect
on ^in++++=on
Donations ^nns+nom+++=Donations,
, ^zz++++=EXTRAWORD
as ^in++++=as
evidenced ^nn++++=evidenced
by ^in++++=by
a ^at++++=a
path ^nn++++=path
coefficient ^nn++++=coefficient
of ^in++++=of
0.713 ^nn++++=0.713.
. ^zz++++=EXTRAWORD
