b ^zz++++=b)
) ^zz++++=EXTRAWORD
Citations ^nns+nom++??+=Citations
in ^in++++=in
Scielo ^np+++??+=SciELO
Citation ^np+nom++??+=Citation
Index ^nn++++=Index
( ^zz++++=(CI)
ci ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
citations ^nns+nom+++=citations
across ^in+pl+++=across
all ^abn++++=all
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science
( ^zz++++=(WoS)
wos ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
citation ^nn+nom+++=citation
sources ^nns++++=sources,
, ^zz++++=EXTRAWORD
including ^in++++=including
those ^dt+dem+++=those
from ^in++++=from
scielo ^np++++=SciELO
ci ^np++++=CI
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
