ui ^nn+++??+=ui
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
plots ^nns++++=plots
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
ith ^nn+++??+=ith
species ^nns++++=species
is ^vbz+bez+aux++=is
present ^vb++++=present
within ^in++++=within
a ^at++++=a
given ^jj+atrb++xvbn+=given
experimental ^jj+atrb+++=experimental
unit ^nn++++=unit
for ^in++++=for
each ^dt++++=each
group ^nn++++=group
( ^zz++++=(control
control ^nn++++=EXTRAWORD
or ^cc++++=or
treatment ^nn+nom+++=treatment).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
