Accurate ^jj+atrb+++=Accurate
data ^nns++++=data
on ^in++++=on
land ^nn++++=land
designated ^vbd+++xvbn+=designated
for ^in++++=for
livestock ^nn++++=livestock
production ^nn+nom+++=production
are ^vb+ber+vrb++=are
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
optimize ^vbi++++=optimize
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
natural ^jj+atrb+++=natural
vegetation ^nn+nom+++=vegetation
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
analyze ^vb+++??+=analyze
the ^ati++++=the
spontaneous ^jj+atrb+++=spontaneous
plant ^nn++++=plant
species ^nns++++=species
present ^vb++++=present
on ^in++++=on
land ^nn++++=land
used ^vwbn+++xvbn+=used
for ^in++++=for
extensive ^jj+atrb+++=extensive
cattle ^nns++++=cattle
production ^nn+nom+++=production
in ^in++++=in
the ^ati++++=the
Middle ^jjb+atrb+++=Middle
Valley ^nn++++=Valley
of ^in++++=of
R ^zz++++=R
o ^zz++++=o
Negro ^nn++++=Negro.
. ^zz++++=EXTRAWORD
Understanding ^nvbg+++xvbg+=Understanding
the ^ati++++=the
composition ^nn+nom+++=composition
of ^in++++=of
the ^ati++++=the
vegetation ^nn+nom+++=vegetation
will ^md+prd+++=will
support ^vb++++=support
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
effective ^jj++++=effective
local ^jj++++=local-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
conservation ^nn+nom+++=conservation
strategies ^nns++++=strategies.
. ^zz++++=EXTRAWORD
