Despite ^in++++=Despite
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
the ^ati++++=the
Maria ^&fw++++=Maria
da ^np++++=da
Penha ^np+++??+=Penha
Law ^nn++++=Law,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
establish ^vbi+vprv+++=establish
mechanisms ^nns+nom+++=mechanisms
to ^to++++=to
prevent ^vbi++++=prevent
domestic ^jj++++=domestic
and ^cc++++=and
family ^nn++++=family
violence ^nn+nom+++=violence
against ^in++++=against
women ^nns++++=women,
, ^zz++++=EXTRAWORD
female ^nn++++=female
mortality ^nn+nom+++=mortality
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
aggression ^vb++++=aggression
in ^in++++=in
Brazil ^np++++=Brazil
has ^vbz+hvz+vrb++=has
more ^ql++++=more
than ^cs+sub+++=than
doubled ^vbd+++xvbn+=doubled
over ^in++++=over
the ^ati++++=the
past ^jjb++++=past
30 ^cd++++=30
years ^nns++++=years
( ^zz++++=(Maria
maria ^np++++=EXTRAWORD
da ^np++++=da
Penha ^np+++??+=Penha
Law ^nn++++=Law,
, ^zz++++=EXTRAWORD
Law ^nn++++=Law
n ^zz++++=n.
. ^zz++++=EXTRAWORD
11.340 ^cd++++=11.340,
, ^zz++++=EXTRAWORD
August ^nr++++=August
7th ^cd++++=7th,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
Meneghel ^np+++??+=Meneghel
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
remains ^nns++++=remains
unclear ^nn+++??+=unclear
whether ^cs+who+++=whether
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
increase ^nn++++=increase
in ^in++++=in
police ^nns++++=police
records ^nns++++=records
of ^in++++=of
femicide ^nn+++??+=femicide
reflects ^vbz++++=reflects
a ^at++++=a
genuine ^jj+atrb+++=genuine
rise ^nn++++=rise
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
cases ^nns++++=cases
or ^cc++++=or
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
underreporting ^xvbg+++xvbg+=underreporting,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
Maria ^&fw++++=Maria
da ^np++++=da
Penha ^np+++??+=Penha
Law ^nn++++=Law
is ^vbz+bez+vrb++=is
relatively ^rb++++=relatively
recent ^jj+pred+++=recent
and ^cc+phrs+++=and
judicial ^jj+atrb+++=judicial
authorities ^nns+nom+++=authorities
may ^md+pos+++=may
still ^rb++++=still
be ^vb+be+aux++=be
adapting ^vbg+++xvbgx+=adapting
to ^in++++=to
its ^pp$+it+++=its
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
evidence ^nn+nom+++=evidence
suggesting ^nn+vpub++xvbg+=suggesting
that ^tht+ncmp+++=that
the ^ati++++=the
law ^nn++++=law
may ^md+pos+++=may
have ^vb+hv+aux++=have
inadvertently ^rb++splt++=inadvertently
allowed ^vprf+++xvbnx+=allowed
