Bryophyta ^np+++??+=Bryophyta,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
mosses ^nns+++??+=mosses,
, ^zz++++=EXTRAWORD
constitute ^vb++++=constitute
an ^at++++=an
abundant ^jj+atrb+++=abundant
plant ^nn++++=plant
group ^nn++++=group
in ^in++++=in
humid ^jj+atrb+++=humid
environments ^nns+nom+++=environments.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Atlantic ^np++++=Atlantic
Coastal ^jj+atrb+++=Coastal
Forest ^nn++++=Forest
of ^in++++=of
southeastern ^jj+++xvbn+=southeastern
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
exhibit ^vb++++=exhibit
high ^jj+atrb+++=high
species ^nns++++=species
richness ^nns+nom+++=richness
and ^cc++++=and
diversity ^nn+nom+++=diversity,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
montane ^nn+++??+=montane
regions ^nns++++=regions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
Parque ^np+++??+=Parque
Nacional ^np+nom++??+=Nacional
do ^vb+do+vrb++=do
Capara ^np+++??+=Capara
, ^zz++++=,
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
its ^pp$+it+++=its
mountainous ^jj+atrb+++=mountainous
terrain ^nn+++??+=terrain
and ^cc++++=and
high ^jj+atrb+++=high
elevations ^nns+nom+++=elevations.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
numerous ^jj+atrb+++=numerous
moss ^np++++=moss
collections ^nns+nom+++=collections
from ^in++++=from
the ^ati++++=the
western ^jj+atrb+++=western
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
park ^nn++++=park
are ^vb+ber+aux++=are
already ^rb++splt++=already
represented ^vpsv++agls+xvbnx+=represented
in ^in++++=in
herbaria ^nn+++??+=herbaria,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eastern ^jj+atrb+++=eastern
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
located ^xvbn+++xvbn+=located
in ^in++++=in
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo
State ^nn++++=State,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
been ^vprf+ben+vrb+xvbnx+=been
under ^in++++=under-sampled.
- ^zz++++=EXTRAWORD
sampled ^jj+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
main ^jjb+atrb+++=main
visitor ^nn++++=visitor
trails ^nns++++=trails
of ^in++++=of
the ^ati++++=the
park ^nn++++=park
were ^vbd+bed+aux++=were
surveyed ^vpsv++agls+xvbnx+=surveyed
over ^in++++=over
three ^cd++++=three
consecutive ^jj+atrb+++=consecutive
days ^nns++++=days
of ^in++++=of
intensive ^jj+atrb+++=intensive
fieldwork ^nn+++??+=fieldwork.
. ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
59 ^cd++++=59
moss ^np++++=moss
species ^nn++++=species,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
38 ^cd++++=38
genera ^nns++++=genera
and ^cc++++=and
22 ^cd++++=22
families ^nns++++=families,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
nine ^cd++++=nine
species ^nn++++=species
are ^vb+ber+aux++=are
newly ^rb++splt++=newly
reported ^vpsv++agls+xvbnx+=reported
for ^in++++=for
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo
State ^nn++++=State,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
14 ^cd++++=14
are ^vb+ber+vrb++=are
endemic ^jj+pred+++=endemic
to ^in++++=to
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn+nom+++=majority
of ^in++++=of
species ^nn++++=species
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
growing ^vbg+++xvbg+=growing
on ^in+ppvb+++=on
soil ^nn++++=soil
substrates ^nns+nom+++=substrates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
species ^nn++++=species
richness ^nns+nom+++=richness
was ^vbd+bedz+vrb++=was
greater ^jjr+pred+++=greater
at ^in++++=at
elevations ^nns+nom+++=elevations
above ^jjb++++=above
1,500 ^cd++++=1,500
m ^zz++++=m
above ^jjb+atrb+++=above
sea ^nn++++=sea
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Sematophyllaceae ^np+++??+=Sematophyllaceae
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
species ^nn++++=species-rich
- ^zz++++=EXTRAWORD
rich ^jj+atrb+++=EXTRAWORD
family ^nn++++=family
in ^in++++=in
the ^ati++++=the
survey ^nn++++=survey.
. ^zz++++=EXTRAWORD
