Laboratory ^nn++++=Laboratory
Analysis ^nn++++=Analysis
Organic ^jj+atrb+++=Organic
matter ^nn++++=matter
content ^nn++++=content
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined
using ^vbg+++xvbg+=using
the ^ati++++=the
muffle ^nn+++??+=muffle
furnace ^nn++++=furnace
method ^nn++++=method
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Goldin ^np+++??+=Goldin
( ^zz++++=(1987),
1987 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
following ^jj+atrb++xvbg+=following
modifications ^nns+nom+++=modifications:
: ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
grams ^nns++++=grams
of ^in++++=of
each ^dt++++=each
soil ^nn++++=soil
sample ^nn++++=sample
were ^vbd+bed+aux++=were
weighed ^vpsv++agls+xvbnx+=weighed
into ^in++++=into
porcelain ^nn++++=porcelain
crucibles ^nns+++??+=crucibles
and ^cc++++=and
dried ^vpsv++agls+xvbn+=dried
in ^in++++=in
an ^at++++=an
oven ^nn++++=oven
at ^in++++=at
90 ^cd++++=90
C ^zz++++=C
for ^in++++=for
24 ^cd++++=24
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
After ^in++++=After
drying ^xvbg+++xvbg+=drying,
, ^zz++++=EXTRAWORD
the ^ati++++=the
samples ^nns++++=samples
were ^vbd+bed+aux++=were
reweighed ^vpsv++agls+xvbnx+=reweighed,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
placed ^vbd+++xvbn+=placed
in ^in++++=in
a ^at++++=a
muffle ^nn+++??+=muffle
furnace ^nn++++=furnace
and ^cc++++=and
incinerated ^jj+++xvbn+=incinerated
at ^rb++++=at
550 ^cd++++=550
C ^zz++++=C
for ^in++++=for
one ^cd1++++=one
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crucibles ^nns+++??+=crucibles
containing ^vwbg+++xvbg+=containing
the ^ati++++=the
residual ^jj+atrb+++=residual
material ^nn++++=material
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
weighed ^vpsv++agls+xvbnx+=weighed
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
organic ^jj+atrb+++=organic
matter ^nn++++=matter
content ^nn++++=content
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
weight ^nn++++=weight
loss ^nn++++=loss
during ^in++++=during
incineration ^nn+nom+++=incineration.
. ^zz++++=EXTRAWORD
