Data ^nns++++=Data
from ^in++++=from
5,564 ^cd++++=5,564
Brazilian ^jj+atrb+++=Brazilian
municipalities ^nns+nom+++=municipalities
were ^vbd+bed+aux++=were
analyzed ^vpsv++agls+xvbnx+=analyzed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
The ^ati++++=The
greatest ^jjt+atrb+++=greatest
reduction ^nn+nom+++=reduction
in ^in++++=in
medical ^jj+atrb+++=medical
appointments ^nns+nom+++=appointments
attributable ^jj++++=attributable
to ^in++++=to
the ^ati++++=the
pandemic ^nn++++=pandemic
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
May ^md+pos+++=May
2020 ^cd++++=2020
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.27 ^nn+++??+=0.27,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
[ ^zz++++=[0.24
0.24 ^nn+++??+=EXTRAWORD
0.30] ^nn+++??+=0.30]).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
prenatal ^jj+atrb+++=prenatal
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
a ^at++++=a
65 ^cd++++=65%
% ^zz++++=EXTRAWORD
reduction ^nn+nom+++=reduction
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
May ^md+pos+++=May
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.35 ^nn+++??+=0.35,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
[ ^zz++++=[0.32
0.32 ^nn+++??+=EXTRAWORD
0.38] ^nn+++??+=0.38]).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
substantial ^jj++++=substantial
decreases ^vbz++++=decreases
in ^in++++=in
diabetes ^nn++++=diabetes
care ^nn++++=care
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
April ^nr++++=April
2020 ^cd++++=2020
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.24 ^nn+++??+=0.24,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
[ ^zz++++=[0.11
0.11 ^nn+++??+=EXTRAWORD
0.53 ^nn+++??+=0.53])
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
May ^md+pos+++=May
2020 ^cd++++=2020
( ^zz++++=(IRR
irr ^nn+++??+=EXTRAWORD
= ^zz++++==
0.19 ^nn+++??+=0.19,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
[ ^zz++++=[0.09
0.09 ^nn+++??+=EXTRAWORD
0.43] ^nn+++??+=0.43]).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
from ^in++++=from
February ^nr+nom+++=February
to ^in++++=to
December ^nr+nom+++=December
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pandemic ^jj++++=pandemic
had ^vb+hv+vrb++=had
a ^at++++=a
significant ^jj+atrb+++=significant
impact ^nn++++=impact
on ^in++++=on
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
procedures ^nns++++=procedures
evaluated ^vpsv++agls+xvbn+=evaluated.
. ^zz++++=EXTRAWORD
