There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
notable ^jj+atrb+++=notable
discrepancy ^nn++++=discrepancy
between ^in++++=between
the ^ati++++=the
prevalence ^nn+nom+++=prevalence
of ^in++++=of
restricted ^xvbn+++xvbn+=restricted
donations ^nns+nom+++=donations
and ^cc++++=and
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
Npos ^np+++??+=NPOs
in ^in++++=in
the ^ati++++=the
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
anticipated ^vpsv++agls+xvbnx+=anticipated
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
heterogeneous ^jj+atrb+++=heterogeneous
characteristics ^nns++++=characteristics
of ^in++++=of
Npos ^np+++??+=NPOs
in ^in++++=in
Brazil ^np++++=Brazil
( ^zz++++=(Instituto
instituto ^nn++++=EXTRAWORD
de ^&fw++++=de
pesquisas ^np++++=Pesquisas
econ ^np++++=Econ
micas ^nns++++=micas
aplicadas ^np++++=Aplicadas,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
