At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
cultivation ^nn+nom+++=cultivation
period ^nn++++=period,
, ^zz++++=EXTRAWORD
30 ^cd++++=30
ml ^nnu++++=mL
of ^in++++=of
culture ^nn++++=culture
medium ^jjb++++=medium
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
from ^in++++=from
each ^dt++++=each
replicate ^nn+nom+++=replicate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
20 ^cd++++=20
ml ^nnu++++=mL
of ^in++++=of
formaldehyde ^nn+++??+=formaldehyde
were ^vbd+bed+aux++=were
added ^vpsv++agls+xvbnx+=added
to ^to++++=to
achieve ^vbi++++=achieve
a ^at++++=a
final ^jj+atrb+++=final
formaldehyde ^nn+++??+=formaldehyde
concentration ^nn+nom+++=concentration
of ^in++++=of
4 ^zz++++=4%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Rose ^j+++xvbn+=Rose
Bengal ^np++++=Bengal
dye ^nn++++=dye
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
the ^ati++++=the
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
The ^ati++++=The
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
formaldehyde ^nn+++??+=formaldehyde
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
fix ^vb++++=fix
and ^cc+phrs+++=and
preserve ^vb++++=preserve
the ^ati++++=the
contaminants ^nns+nom+++=contaminants,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Rose ^nn+++xvbn+=Rose
Bengal ^np++++=Bengal
dye ^nn++++=dye
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^in++++=to
stain ^nn++++=stain
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
subsequent ^jj+atrb+++=subsequent
visual ^jj+atrb+++=visual
enumeration ^nn+nom+++=enumeration.
. ^zz++++=EXTRAWORD
A ^at++++=A
1 ^zz++++=1
ml ^nnu++++=mL
sample ^nn++++=sample
of ^in++++=of
culture ^nn++++=culture
medium ^jjb++++=medium
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
the ^ati++++=the
vicinity ^nn+nom+++=vicinity
of ^in++++=of
the ^ati++++=the
thalli ^nn+++??+=thalli
surface ^nn++++=surface
in ^in++++=in
each ^dt++++=each
replicate ^nn+nom+++=replicate
using ^vwbg+++xvbg+=using
a ^at++++=a
pipette ^nn+nom+++=pipette
and ^cc+phrs+++=and
transferred ^vpsv++agls+xvbn+=transferred
to ^in++++=to
a ^at++++=a
Sedgwick ^np+++??+=Sedgwick-Rafter
- ^zz++++=EXTRAWORD
rafter ^jjr+atrb+++=EXTRAWORD
counting ^jj+atrb++xvbg+=counting
chamber ^nn++++=chamber
for ^in++++=for
contaminant ^jj+atrb+++=contaminant
quantification ^nn+nom+++=quantification
under ^in++++=under
stereoscopic ^nn++++=stereoscopic
and ^cc++++=and
optical ^jj+atrb+++=optical
microscopy ^nn++++=microscopy.
. ^zz++++=EXTRAWORD
