Given ^vbd+++xvbn+=Given
the ^ati++++=the
challenges ^nn++++=challenges
posed ^vwbn+++xvbn+=posed
by ^in++++=by
modern ^jj+atrb+++=modern
lifestyles ^nns+++??+=lifestyles,
, ^zz++++=EXTRAWORD
including ^in++++=including
ongoing ^xvbg+++xvbg+=ongoing
threats ^nns++++=threats
to ^in+ncmp+++=to
biological ^jj+atrb+++=biological
and ^cc+phrs+++=and
cultural ^jj+atrb+++=cultural
diversity ^nn+nom+++=diversity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
consequences ^nns+nom+++=consequences
of ^in++++=of
urbanization ^nn+nom+++=urbanization,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
increasing ^jj+atrb++xvbg+=increasing
restriction ^nn+nom+++=restriction
of ^in++++=of
childhood ^nn+nom+++=childhood
experiences ^nns+nom+++=experiences,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
for ^in++++=for
educators ^nns++++=educators
to ^in++++=to
reconsider ^jjr++++=reconsider
their ^pp$+pp3+++=their
responsibilities ^nns+nom+++=responsibilities
toward ^in++++=toward
both ^abx++++=both
the ^ati++++=the
current ^jj+atrb+++=current
environment ^nn+nom+++=environment
and ^cc++++=and
future ^jjb+atrb+++=future
generations ^nns+nom+++=generations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
forest ^nn++++=forest
school ^nn++++=school
movement ^nn+nom+++=movement
has ^vbz+hvz+aux++=has
emerged ^vprf+++xvbnx+=emerged
as ^ql++++=as
a ^at++++=a
potential ^jj+atrb+++=potential
response ^nn++++=response
to ^in++++=to
these ^dt+dem+++=these
issues ^nns++++=issues
( ^zz++++=(Casanova,
casanova ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
66 ^cd++++=66
67 ^cd++++=67).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
