It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
therefore ^rb+cnj+++=therefore
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
seek ^vbi++++=seek
an ^at++++=an
explanation ^nn+nom+++=explanation
for ^in++++=for
these ^dt+dem+++=these
observations ^nns+nom+++=observations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
the ^ati++++=the
characterization ^nn+nom+++=characterization
of ^in++++=of
both ^abx++++=both
sentence ^nn+nom+++=sentence
types ^nns++++=types
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
description ^nn+nom+++=description
of ^in++++=of
their ^pp$+pp3+++=their
syntactic ^jj+atrb+++=syntactic
and ^cc+phrs+++=and
semantic ^jj+atrb+++=semantic
properties ^nns++++=properties.
. ^zz++++=EXTRAWORD
To ^to++++=To
conduct ^vbi++++=conduct
this ^dt+dem+++=this
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
first ^od++++=first
provide ^vb+vsua+++=provide
a ^at++++=a
brief ^jj+atrb+++=brief
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
apposition ^nn+nom+++=apposition,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
an ^at++++=an
examination ^nn+nom+++=examination
of ^in++++=of
appositive ^jj+atrb+++=appositive
sentences ^nns+nom+++=sentences,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
in ^in++++=in
examples ^nns++++=examples
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(2).
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
structure ^nn++++=structure
of ^in++++=of
the ^ati++++=the
paper ^nn++++=paper
is ^vbz+bez+aux++=is
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
Section ^nn+nom+++=Section
1 ^zz++++=1
addresses ^nns+nom+++=addresses
apposition ^nn+nom+++=apposition
in ^rb++++=in
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
including ^in++++=including
sentential ^jj+atrb+++=sentential
apposition ^nn+nom+++=apposition
and ^cc++++=and
the ^ati++++=the
typology ^nn+++??+=typology
of ^in++++=of
sentential ^jj+atrb+++=sentential
apposition ^nn+nom+++=apposition
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese.
. ^zz++++=EXTRAWORD
Section ^nn+nom+++=Section
2 ^zz++++=2
focuses ^vbz++++=focuses
on ^in++++=on
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese
Quem ^np+++??+=QUEM
sentences ^nns+nom+++=sentences,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
emphasis ^nn++++=emphasis
on ^in++++=on
free ^jj+atrb+++=free
relative ^jj+atrb+++=relative
sentences ^nns+nom+++=sentences.
. ^zz++++=EXTRAWORD
Section ^nn+nom+++=Section
3 ^zz++++=3
presents ^vbz++++=presents
the ^ati++++=the
analysis ^nn++++=analysis
developed ^vbd+++xvbn+=developed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
section ^nn+nom+++=Section
4 ^zz++++=4
offers ^nns++++=offers
the ^ati++++=the
final ^nn++++=final
remarks ^vbz+vpub+++=remarks.
. ^zz++++=EXTRAWORD
