Authorization ^np+nom++??+=Authorization
for ^in++++=for
specimen ^nn++++=specimen
collection ^nn+nom+++=collection
was ^vbd+bedz+aux++=was
granted ^vpsv++by+xvbnx+=granted
by ^in++++=by
the ^ati++++=the
Instituto ^np+++??+=Instituto
Chico ^np+++??+=Chico
Mendes ^np+++??+=Mendes
de ^&fw++++=de
Conserva ^np+++??+=Conserva
o ^zz++++=o
da ^np++++=da
Biodiversidade ^np+++??+=Biodiversidade
( ^zz++++=(permit
permit ^vb++++=EXTRAWORD
number ^nn++++=number
47090 ^cd++++=47090-4).
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
collection ^nn+nom+++=collection
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
over ^in++++=over
three ^cd++++=three
days ^nns++++=days
in ^in++++=in
May ^md+pos+++=May
2015 ^cd++++=2015
along ^in++++=along
the ^ati++++=the
main ^jjb+atrb+++=main
access ^nn++++=access
road ^nn++++=road
to ^in++++=to
the ^ati++++=the
camps ^nns++++=camps,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
9 ^zz++++=9
km ^nnu++++=km
long ^jj++++=long,
, ^zz++++=EXTRAWORD
partially ^rb+down+++=partially
paved ^jj+++xvbn+=paved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accessible ^jj++++=accessible
by ^in++++=by
car ^nn++++=car,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
on ^in++++=on
hiking ^nn++++=hiking
trails ^nns++++=trails
leading ^vwbg+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
Aur ^np+++??+=Aur
lio ^&fo++++=lio
and ^cc++++=and
Sete ^np+++??+=Sete
Pil ^np+++??+=Pil
es ^&fw++++=es
waterfalls ^nns++++=waterfalls,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
narrow ^jj+pred+++=narrow,
, ^zz++++=EXTRAWORD
of ^in++++=of
moderate ^jj+atrb+++=moderate
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
measure ^nn++++=measure
1000 ^cd++++=1000
m ^zz++++=m
and ^cc++++=and
210 ^cd++++=210
m ^zz++++=m
in ^in++++=in
length ^nn++++=length,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
( ^zz++++=(ICMBio
icmbio ^jj+++??+=EXTRAWORD
accessed ^jj+++xvbn+=accessed
12 ^cd++++=12/02/2020a).
The ^ati++++=The
objective ^nn++++=objective
of ^in++++=of
the ^ati++++=the
collection ^nn+nom+++=collection
was ^vbd+bedz+vrb++=was
to ^in++++=to
document ^nn+nom+++=document
species ^nn++++=species
diversity ^nn+nom+++=diversity
at ^rb++++=at
each ^dt++++=each
site ^nn++++=site;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
exhaustive ^jj+atrb+++=exhaustive
sampling ^nn+nom+++=sampling
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
performed ^vbd+++xvbn+=performed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
duplicate ^nn+nom+++=duplicate
specimens ^nns++++=specimens
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
site ^nn++++=site
were ^vbd+bed+aux++=were
intentionally ^rb++splt++=intentionally
avoided ^vpsv++agls+xvbnx+=avoided.
. ^zz++++=EXTRAWORD
Plants ^nns++++=Plants
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
manually ^rb++++=manually
or ^cc++++=or
with ^in++++=with
a ^at++++=a
spatula ^nn+++??+=spatula
from ^in++++=from
all ^rb++++=all
available ^jj+atrb+++=available
substrates ^nns+nom+++=substrates,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
total ^nn++++=total
of ^in++++=of
125 ^cd++++=125
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
were ^vbd+bed+aux++=were
stored ^vpsv++agls+xvbnx+=stored
in ^in++++=in
paper ^nn++++=paper
bags ^nns++++=bags
following ^vwbg+++xvbg+=following
the ^ati++++=the
methodology ^nn++++=methodology
of ^in++++=of
Yano ^np+++??+=Yano
( ^zz++++=(1984),
1984 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
environmental ^jj+atrb+++=environmental
data ^nns++++=data
such ^abl++++=such
as ^ql++++=as
sun ^nn++++=sun
exposure ^nn++++=exposure
and ^cc++++=and
geographic ^jj+atrb+++=geographic
coordinates ^nns+nom+++=coordinates
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded.
. ^zz++++=EXTRAWORD
Substrate ^nn+nom+++=Substrate
classification ^nn+nom+++=classification
followed ^vbd+vprv++xvbn+=followed
Robbins ^np++++=Robbins
( ^zz++++=(1952)
