During ^in++++=During
cultivation ^nn+nom+++=cultivation,
, ^zz++++=EXTRAWORD
immersion ^nn++++=immersion
of ^in++++=of
thalli ^nn+++??+=thalli
in ^in++++=in
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
for ^in++++=for
5 ^zz++++=5
minutes ^nns++++=minutes
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
slight ^jj+atrb+++=slight
loss ^nn++++=loss
of ^in++++=of
pigmentation ^nn+nom+++=pigmentation,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
partial ^jj+atrb+++=partial
bleaching ^nn++++=bleaching
of ^in++++=of
the ^ati++++=the
thallus ^nns+++??+=thallus.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pigment ^nn+nom+++=pigment
loss ^nn++++=loss
likely ^jj++++=likely
contributed ^jj+++xvbn+=contributed
to ^in++++=to
the ^ati++++=the
reduced ^jj+atrb++xvbn+=reduced
growth ^nn++++=growth
observed ^vbd+++xvbn+=observed
in ^in++++=in
this ^dt+dem+++=this
treatment ^nn+nom+++=treatment,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
diminished ^vbd+++xvbn+=diminished
pigmentation ^nn+nom+++=pigmentation
can ^md+pos+++=can
impair ^vb++++=impair
photosynthetic ^jj+atrb+++=photosynthetic
capacity ^nn+nom+++=capacity.
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
effects ^nns++++=effects
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++by+xvbnx+=reported
by ^in++++=by
Fernandes ^np++++=Fernandes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
thalli ^nn++++=thalli
exposed ^vbd+++xvbn+=exposed
to ^in++++=to
detergent ^nn++++=detergent
and ^cc++++=and
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
thalli ^vb+++??+=thalli
demonstrated ^vbd+vprv++xvbn+=demonstrated
recovery ^nn+nom+++=recovery
following ^vwbg+++xvbg+=following
treatment ^nn+nom+++=treatment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
immersion ^nn++++=immersion
in ^in++++=in
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
for ^in++++=for
2 ^zz++++=2
minutes ^nns++++=minutes
was ^vbd+bedz+vrb++=was
sufficient ^jj+pred+++=sufficient
to ^to+jcmp+++=to
eliminate ^nn+nom+++=eliminate
contaminants ^nns+nom+++=contaminants
without ^in++++=without
causing ^xvbg+++xvbg+=causing
significant ^jj+atrb+++=significant
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
on ^in++++=on
the ^ati++++=the
macroalga ^nn+++??+=macroalga.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
these ^dt+dem+++=these
findings ^nns++++=findings
and ^cc++++=and
in ^in++++=in
agreement ^nn+nom+++=agreement
with ^in++++=with
Holdt ^np+++??+=Holdt
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
2 ^zz++++=2-minute
- ^zz++++=EXTRAWORD
minute ^nn++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
immersion ^nn++++=immersion
is ^vbz+bez+aux++=is
recommended ^vbd+vsua+++=recommended
for ^in++++=for
effective ^jj+atrb+++=effective
decontamination ^nn+nom+++=decontamination
with ^in++++=with
minimal ^jj+atrb+++=minimal
negative ^jj+atrb+++=negative
impact ^nn++++=impact.
. ^zz++++=EXTRAWORD
