These ^dt+dem+++=These
debates ^nns+nom+++=debates
have ^vb+hv+aux++=have
increased ^vprf+++xvbnx+=increased
the ^ati++++=the
visibility ^nn+nom+++=visibility
of ^in++++=of
university ^nn+nom+++=university
rankings ^nns++++=rankings,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
further ^jjb+atrb+++=further
stimulating ^jj+atrb++xvbg+=stimulating
interest ^nn++++=interest
from ^in++++=from
various ^jj+atrb+++=various
stakeholders ^nns+nom+++=stakeholders.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
past ^jjb++++=past
two ^cd++++=two
decades ^nns++++=decades,
, ^zz++++=EXTRAWORD
a ^at++++=a
substantial ^jj+atrb+++=substantial
body ^nn++++=body
of ^in++++=of
research ^nn++++=research
has ^vbz+hvz+aux++=has
emerged ^vprf+++xvbnx+=emerged
on ^in++++=on
this ^dt+dem+++=this
topic ^nn++++=topic,
, ^zz++++=EXTRAWORD
establishing ^vbg+++xvbg+=establishing
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
distinct ^jj+atrb+++=distinct
field ^nn++++=field
of ^in++++=of
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Notable ^jj+atrb+++=Notable
contributions ^nns+nom+++=contributions
include ^vb++++=include
works ^nns++++=works
by ^in++++=by
Webster ^np+nom+++=Webster
( ^zz++++=(2001),
2001 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Raan ^np+++??+=Raan
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Liu ^np+++??+=Liu
and ^cc++++=and
Cheng ^np+++??+=Cheng
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Aguillo ^np+++??+=Aguillo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2006,
2006 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Marginson ^np+++??+=Marginson
and ^cc++++=and
Van ^&fw++++=Van
der ^&fw++++=der
Wende ^np+++??+=Wende
( ^zz++++=(2007),
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Billaut ^np+++??+=Billaut,
, ^zz++++=EXTRAWORD
Bouyssou ^np+++??+=Bouyssou,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Vinke ^np+++??+=Vinke
( ^zz++++=(2010),
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Th ^zz++++=Th
ry ^nn++++=ry
( ^zz++++=(2010),
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Shin ^nn++++=Shin
and ^cc++++=and
Toutkoushian ^np+++??+=Toutkoushian
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Shin ^nn++++=Shin,
, ^zz++++=EXTRAWORD
Toutkoushian ^np+++??+=Toutkoushian,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Teichler ^np+nom++??+=Teichler
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bernhard ^np+++??+=Bernhard
( ^zz++++=(2012),
2012 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Moura ^np+++??+=Moura
and ^cc++++=and
Moura ^np+++??+=Moura
( ^zz++++=(2013),
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sorz ^np+++??+=Sorz
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Stack ^np+++??+=Stack
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Herting ^np+++??+=Herting
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Gon ^np+++??+=Gon
alves ^nns+++??+=alves
and ^cc++++=and
Calder ^np+++??+=Calder
n ^zz++++=n
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lloyd ^np++++=Lloyd,
, ^zz++++=EXTRAWORD
Ordorika ^np+++??+=Ordorika,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rodriguez ^np++++=Rodriguez-G
- ^zz++++=EXTRAWORD
g ^zz++++=EXTRAWORD
