Evaluation ^nn+nom+++=Evaluation
of ^in++++=of
the ^ati++++=the
Natural ^jj+atrb+++=Natural
Regeneration ^nn+nom+++=Regeneration
of ^in++++=of
Plant ^nn++++=Plant
Species ^nns++++=Species
Monitoring ^vwbg+++xvbg+=Monitoring
of ^in++++=of
the ^ati++++=the
experimental ^jj+atrb+++=experimental
unit ^nn++++=unit
revealed ^vbd+vprv+tht0+xvbn+=revealed
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
initiation ^nn+nom+++=initiation
of ^in++++=of
treatment ^nn+nom+++=treatment
on ^in++++=on
October ^nr++++=October
12 ^cd++++=12,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
second ^od++++=second
sampling ^nn+nom+++=sampling
on ^in++++=on
July ^nr++++=July
12 ^cd++++=12,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
substantial ^jj+atrb+++=substantial
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
Urochloa ^np+++??+=Urochloa
brizantha ^nn+++??+=brizantha
( ^zz++++=(Hochst.
hochst ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
ex ^jjb++++=ex
A ^at++++=A.
. ^zz++++=EXTRAWORD
Rich ^jj++++=Rich.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Webster ^np+nom+++=Webster
across ^in+pl+++=across
all ^abn++++=all
plots ^nns++++=plots.
. ^zz++++=EXTRAWORD
During ^in++++=During
this ^dt+dem+++=this
period ^nn++++=period,
, ^zz++++=EXTRAWORD
no ^at++++=no
germination ^nn+nom+++=germination
of ^in++++=of
seedlings ^nns+nom+++=seedlings
from ^in++++=from
shrub ^nn++++=shrub
or ^cc++++=or
arboreal ^jj+atrb+++=arboreal
plant ^nn++++=plant
species ^nn++++=species,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
from ^in++++=from
other ^ap++++=other
weed ^nn++++=weed
species ^nn++++=species,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbn+=observed.
. ^zz++++=EXTRAWORD
