Data ^nns++++=Data
on ^in++++=on
services ^nns++++=services
and ^cc++++=and
health ^nn++++=health
status ^nn++++=status,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
percentage ^nn+nom+++=percentage
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population
covered ^vwbn+++xvbn+=covered
by ^in++++=by
the ^ati++++=the
Unified ^jj+atrb++xvbn+=Unified
Health ^nn++++=Health
System ^nn++++=System,
, ^zz++++=EXTRAWORD
mortality ^nn+nom+++=mortality
rate ^nn++++=rate
from ^in++++=from
Human ^jj+atrb+++=Human
Immunodeficiency ^np+++??+=Immunodeficiency
Virus ^nn++++=Virus,
, ^zz++++=EXTRAWORD
maternal ^jj+atrb+++=maternal
mortality ^nn+nom+++=mortality
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cervical ^jj+atrb+++=cervical
cancer ^nn++++=cancer
mortality ^nn+nom+++=mortality
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
Health ^nn++++=Health
Information ^nn+nom+++=Information
System ^nn++++=System
Websites ^nns++++=websites
Of ^in++++=of
The ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Ministry ^nn++++=Ministry
Of ^in++++=of
Health ^nn++++=Health.
 ^zz++++=EXTRAWORD
