The ^ati++++=The
first ^od++++=first
germination ^nn+nom+++=germination
count ^nn++++=count,
, ^zz++++=EXTRAWORD
conducted ^j+++xvbn+=conducted
seven ^cd++++=seven
days ^nns++++=days
after ^in++++=after
sowing ^nn++++=sowing,
, ^zz++++=EXTRAWORD
showed ^vb+++xvbn+=showed
that ^tht+vcmp+++=that
seeds ^nns++++=seeds
exhibited ^vbd+++xvbn+=exhibited
delayed ^vbd+++xvbn+=delayed
germination ^nn+nom+++=germination
under ^in++++=under
saline ^nn++++=saline
stress ^vb+vpub+++=stress.
. ^zz++++=EXTRAWORD
A ^at++++=A
progressive ^nn++++=progressive
decline ^vb++++=decline
in ^in++++=in
the ^ati++++=the
percentage ^nn+nom+++=percentage
of ^in++++=of
normal ^jj+atrb+++=normal
seedlings ^nns+nom+++=seedlings
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
Nacl ^np+++??+=NaCl
concentrations ^nns+nom+++=concentrations,
, ^zz++++=EXTRAWORD
with ^in++++=with
complete ^jj+atrb+++=complete
inhibition ^nn+nom+++=inhibition
of ^in++++=of
germination ^nn+nom+++=germination
occurring ^vwbg+++xvbg+=occurring
at ^in++++=at
- ^zz++++=-0.3
0.3 ^nn+++??+=EXTRAWORD
Mpa ^np+++??+=MPa
of ^in++++=of
Cacl2 ^np+++??+=CaCl2
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1b ^cd++++=1b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
result ^nn++++=result
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
a ^at++++=a
reduced ^jj+atrb++xvbn+=reduced
rate ^nn++++=rate
of ^in++++=of
seed ^nn++++=seed
water ^nn++++=water
absorption ^nn+nom+++=absorption
as ^in++++=as
water ^nn++++=water
potential ^nn++++=potential
decreases ^vbz++++=decreases,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
elevated ^vbd+++xvbn+=elevated
salt ^jj+atrb+++=salt
concentrations ^nns+nom+++=concentrations
can ^md+pos+++=can
induce ^vb++++=induce
cytotoxicity ^nn+nom+++=cytotoxicity
and ^cc++++=and
cellular ^jj+atrb+++=cellular
dehydration ^nn+nom+++=dehydration,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
diminishing ^vbg+++xvbg+=diminishing
metabolic ^jj+atrb+++=metabolic
activity ^nn+nom+++=activity
and ^cc++++=and
inhibiting ^jj++++=inhibiting
the ^ati++++=the
synthesis ^nn++++=synthesis
of ^in++++=of
new ^jj+atrb+++=new
tissues ^nns++++=tissues
due ^jj++++=due
to ^to+jcmp+++=to
limited ^vbi++++=limited
water ^nn++++=water
availability ^nn+nom+++=availability
( ^zz++++=(Marcos
marcos ^nns+++??+=EXTRAWORD
Filho ^np+++??+=Filho,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
reduced ^xvbn+++xvbn+=reduced
water ^nn++++=water
accessibility ^nn+nom+++=accessibility
can ^md+pos+++=can
lower ^jjr++++=lower
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
seeds ^nns++++=seeds
completing ^vwbg+++xvbg+=completing
germination ^nn+nom+++=germination
or ^cc++++=or
entirely ^rb+amp+++=entirely
prevent ^vb++++=prevent
the ^ati++++=the
process ^nns+nom+++=process
( ^zz++++=(Vel
vel ^np++++=EXTRAWORD
zquez ^nn+++??+=zquez-M
- ^zz++++=EXTRAWORD
m ^zz++++=EXTRAWORD
rquez ^nn++++=rquez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
