If ^cs+cnd+++=If
the ^ati++++=the
entire ^jjb++++=entire
que ^&fw++++=que
sentence ^nn+nom+++=sentence
in ^in++++=in
( ^zz++++=(17)
17 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
replaced ^vprf+++xvbnx+=replaced
the ^ati++++=the
elided ^jj+atrb++xvbn+=elided
anchor ^nn++++=anchor
as ^ql++++=as
the ^ati++++=the
complement ^nn+nom+++=complement
of ^in++++=of
the ^ati++++=the
verb ^nn++++=verb
disse ^nn+++??+=disse,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
becomes ^vbz++++=becomes
evident ^jj++++=evident
that ^tht+jcmp+++=that
the ^ati++++=the
subordinate ^jj+atrb+++=subordinate
clause ^nn++++=clause
in ^in++++=in
( ^zz++++=(15)
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
directly ^rb++splt++=directly
selected ^vpsv++by+xvbnx+=selected
by ^in++++=by
the ^ati++++=the
matrix ^nn++++=matrix
verb ^nn++++=verb,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
with ^in++++=with
the ^ati++++=the
selectional ^jj+atrb+++=selectional
properties ^nns++++=properties
of ^in++++=of
a ^at++++=a
verb ^nn++++=verb
such ^abl++++=such
as ^ql++++=as
disse ^nn+++??+=disse
( ^zz++++=(potentially
potentially ^rb++++=EXTRAWORD
characterized ^jj+++xvbn+=characterized
as ^ql++++=as
a ^at++++=a
Cp ^np+++??+=CP
with ^in++++=with
Dp ^np+++??+=DP-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
properties ^nns++++=properties).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
( ^zz++++=(16)
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
may ^md+pos+++=may
differ ^vb++++=differ
from ^in++++=from
( ^zz++++=(15)
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
because ^cs+cos+++=because
ellipsis ^nns+++??+=ellipsis
of ^in++++=of
the ^ati++++=the
anchor ^nn++++=anchor
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
permitted ^jj+++xvbn+=permitted,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
in ^in++++=in
( ^zz++++=(18).
18 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
provides ^vbz+vsua+++=provides
evidence ^nn+nom+++=evidence
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
the ^ati++++=the
que ^&fw++++=que
sentence ^nn+nom+++=sentence
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
anchor ^nn++++=anchor
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
functions ^nns+nom+++=functions
as ^in++++=as
a ^at++++=a
standard ^nn++++=standard
Cp ^np+++??+=CP
rather ^rb++++=rather
than ^in++++=than
a ^at++++=a
Dp ^np+++??+=DP-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
Cp ^np+++??+=CP
when ^wrb+who+++=when
a ^at++++=a
Dp ^np+++??+=DP
is ^vbz+bez+aux++=is
selected ^vpsv++by+xvbnx+=selected
by ^in++++=by
the ^ati++++=the
matrix ^nn++++=matrix
verb ^nn++++=verb.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
asymmetry ^nn++++=asymmetry
between ^in++++=between
( ^zz++++=(15)
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(16)
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
the ^ati++++=the
contrast ^nn++++=contrast
observed ^vbd+++xvbn+=observed
in ^in++++=in
( ^zz++++=(19)
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(20)
20 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
below ^rb++++=below.
. ^zz++++=EXTRAWORD
