Among ^in++++=Among
the ^ati++++=the
emerging ^jj+atrb++xvbg+=emerging
perspectives ^nns++++=perspectives,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
notable ^jj+atrb+++=notable
development ^nn+nom+++=development
is ^vbz+bez+vrb++=is
the ^ati++++=the
recognition ^nn+nom+++=recognition
that ^tht+rel+subj++=that
learning ^vbg+vprv++xvbg+=learning
can ^md+pos+++=can
occur ^vb++++=occur
in ^in++++=in
environments ^nns+nom+++=environments
previously ^rb+tm+++=previously
not ^xnot++not++=not
considered ^vbd+vprv++xvbn+=considered
suitable ^jj++++=suitable
for ^in++++=for
educational ^jj+atrb+++=educational
purposes ^nns++++=purposes
( ^zz++++=(Coutinho
coutinho ^nn+++??+=EXTRAWORD
& ^zz++++=&
Lisb ^np+++??+=Lisb
a ^at++++=a,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Colombian ^np+++??+=Colombian
researcher ^nn+nom+++=researcher
Ernesto ^np+++??+=Ernesto
Noguera ^np+++??+=Noguera-Ram
- ^zz++++=EXTRAWORD
ram ^vb++++=EXTRAWORD
rez ^nn+++??+=rez
( ^zz++++=(2009,
2009 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
13 ^cd++++=13),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
transition ^nn+nom+++=transition
to ^in++++=to
a ^at++++=a
knowledge ^nn++++=knowledge-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
society ^nn++++=society
positions ^nns+nom+++=positions
the ^ati++++=the
" ^zz++++="educated
educated ^vbd+++xvbn+=EXTRAWORD
person ^nn++++=person"
" ^zz++++=EXTRAWORD
as ^ql++++=as
central ^jj++++=central
to ^in++++=to
the ^ati++++=the
production ^nn+nom+++=production
and ^cc++++=and
dissemination ^nn+nom+++=dissemination
of ^in++++=of
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
knowledge ^nn++++=knowledge
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
exclusively ^rb++++=exclusively
controlled ^vpsv++by+xvbn+=controlled
by ^in++++=by
formal ^jj+atrb+++=formal
educational ^jj+atrb+++=educational
institutions ^nns+nom+++=institutions
but ^cc++++=but
becomes ^vbz++++=becomes
a ^at++++=a
shared ^jj+atrb++xvbn+=shared
responsibility ^nn+nom+++=responsibility
among ^in++++=among
all ^abn++++=all
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
a ^at++++=a
learning ^jj+atrb++xvbg+=learning
society ^nn++++=society,
, ^zz++++=EXTRAWORD
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
spaces ^nns++++=spaces
including ^in++++=including
virtual ^jj+atrb+++=virtual
environments ^nns+nom+++=environments
can ^md+pos+++=can
serve ^vb++++=serve
as ^in++++=as
effective ^jj+atrb+++=effective
settings ^nns++++=settings
for ^in++++=for
learning ^xvbg+++xvbg+=learning,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
that ^dt+pdem+++=that
individuals ^nns+nom+++=individuals
possess ^nns+nom+++=possess
the ^ati++++=the
capacity ^nn+nom+++=capacity
for ^in++++=for
self ^nn++++=self-regulation.
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
engage ^vbi++++=engage
in ^in++++=in
continuous ^nn++++=continuous
learning ^vbg+vprv++xvbg+=learning
throughout ^rb++++=throughout
their ^pp$+pp3+++=their
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
