Brazilian ^jj+atrb+++=Brazilian
institutions ^nns+nom+++=institutions
increased ^vbd+++xvbn+=increased
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
available ^jj+atrb+++=available
data ^nns++++=data
from ^in++++=from
a ^at++++=a
minimum ^nn++++=minimum
of ^in++++=of
38.48 ^cd++++=38.48%
% ^zz++++=EXTRAWORD
in ^in++++=in
2018 ^cd++++=2018
to ^to++++=to
44.71 ^cd++++=44.71%
% ^zz++++=EXTRAWORD
in ^in++++=in
2019 ^cd++++=2019
and ^cc++++=and
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
this ^dt+pdem+++=this
represents ^vbz++++=represents
an ^at++++=an
improvement ^nn+nom+++=improvement,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
figures ^nns++++=figures
remain ^vb++++=remain
below ^in+pl+++=below
the ^ati++++=the
global ^jj+atrb+++=global
average ^nn+nom+++=average
of ^in++++=of
54.46 ^cd++++=54.46%
% ^zz++++=EXTRAWORD
in ^in++++=in
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
below ^in+pl+++=below
the ^ati++++=the
averages ^nns+nom+++=averages
reported ^vbd+vpub++xvbn+=reported
for ^in++++=for
Spanish ^jj+atrb+++=Spanish
institutions ^nns+nom+++=institutions
( ^zz++++=(86.15%)
86.15 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
top ^jjb++++=top
300 ^cd++++=300
performers ^nns+nom+++=performers
in ^in++++=in
Europe ^np++++=Europe
 ^zz++++=(85.72%)
5.72 ^np++++=EXTRAWORD
 ^zz++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
In ^in++++=in
The ^ati++++=the
Same ^ap++++=same
Year ^nn++++=year.
 ^zz++++=EXTRAWORD
