Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^rb++++=first
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
factors ^nns++++=factors
associated ^vbd+++xvbn+=associated
with ^in++++=with
spatial ^jj+atrb+++=spatial
clusters ^nns+nom+++=clusters
of ^in++++=of
feminicide ^nn+++??+=feminicide
rates ^nns++++=rates
in ^in++++=in
a ^at++++=a
geographical ^jj+atrb+++=geographical
context ^nn++++=context
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
a ^at++++=a
predominance ^nn+nom+++=predominance
of ^in++++=of
patriarchal ^jj+atrb+++=patriarchal
culture ^nn++++=culture.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicate ^nn+nom+++=indicate
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
feminicide ^nn+++??+=feminicide
rates ^nns++++=rates
in ^in++++=in
areas ^nns++++=areas
with ^in++++=with
lower ^jjr+atrb+++=lower
social ^jj+atrb+++=social
inequality ^nn+nom+++=inequality,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
human ^jj+atrb+++=human
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
greater ^jjr+atrb+++=greater
authority ^nn+nom+++=authority
exercised ^vbd+++xvbn+=exercised
by ^in++++=by
women ^nns++++=women
within ^in++++=within
the ^ati++++=the
family ^nn++++=family
environment ^nn+nom+++=environment.
. ^zz++++=EXTRAWORD
