Rarefaction ^np+nom++??+=Rarefaction
curves ^nns++++=curves
and ^cc++++=and
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
confidence ^nn+nom+++=confidence
intervals ^nns+nom+++=intervals
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
using ^vbg+++xvbg+=using
the ^ati++++=the
moment ^nn++++=moment-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
estimator ^nn++++=estimator
of ^in++++=of
species ^nn++++=species
richness ^nns+nom+++=richness
( ^zz++++=(Colwell
colwell ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2004 ^cd++++=2004)
) ^zz++++=EXTRAWORD
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
adequacy ^nn+nom+++=adequacy
of ^in++++=of
the ^ati++++=the
sampling ^nn+nom+++=sampling
effort ^nn++++=effort
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
amphibian ^nn++++=amphibian
and ^cc++++=and
reptile ^nn+++??+=reptile
species ^nns++++=species
recorded ^vbd+++xvbn+=recorded
during ^in++++=during
the ^ati++++=the
study ^nn++++=study.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hour ^nn++++=hour
of ^in++++=of
visual ^jj+atrb+++=visual
encounter ^nn+nom+++=encounter
survey ^nn++++=survey
( ^zz++++=(VES)
ves ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
a ^at++++=a
sampling ^nn+nom+++=sampling
unit ^nn++++=unit,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
total ^nn++++=total
of ^in++++=of
