Based ^xvbn+++xvbn+=Based
on ^in++++=on
Schneider ^np+nom++??+=Schneider
s ^zz++++=s
critiques ^nns++++=critiques,
, ^zz++++=EXTRAWORD
subsequent ^jj+atrb+++=subsequent
research ^nn++++=research
on ^in++++=on
kinship ^nn+nom+++=kinship
has ^vbz+hvz+aux++=has
increasingly ^rb++splt++=increasingly
recognized ^vprf+++xvbnx+=recognized
a ^at++++=a
broader ^jjr+atrb+++=broader
range ^nn++++=range
of ^in++++=of
relationships ^nns+nom+++=relationships
including ^in++++=including
friendship ^nn+nom+++=friendship,
, ^zz++++=EXTRAWORD
companionship ^nn+nom+++=companionship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shared ^vprf+++xvbn+=shared
experiences ^nns+nom+++=experiences
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering
as ^ql++++=as
forms ^vbz++++=forms
of ^in++++=of
kinship ^nn+nom+++=kinship,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
same ^ap++++=same-sex
- ^zz++++=EXTRAWORD
sex ^nn++++=EXTRAWORD
relationships ^nns+nom+++=relationships
as ^in++++=as
kinship ^nn+nom+++=kinship
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
always ^rb++++=always
been ^vprf+ben+aux+xvbn+=been
explicitly ^rb++splt++=explicitly
addressed ^vpsv++agls+xvbn+=addressed.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
perspective ^nn++++=perspective
highlights ^nns++++=highlights
the ^ati++++=the
plasticity ^nn+nom+++=plasticity
of ^in++++=of
kinship ^nn+nom+++=kinship
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
emphasizing ^vbg+++xvbg+=emphasizing
that ^tht+vcmp+++=that
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
family ^nn++++=family
represents ^vbz++++=represents
only ^rb+down+++=only
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
subset ^nn+++??+=subset
of ^in++++=of
the ^ati++++=the
diverse ^jj+atrb+++=diverse
relationships ^nns+nom+++=relationships
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
classified ^vpsv++agls+xvbn+=classified
as ^ql++++=as
kinship ^nn+nom+++=kinship.
. ^zz++++=EXTRAWORD
