Despite ^in++++=Despite
the ^ati++++=the
publication ^nn+nom+++=publication
of ^in++++=of
the ^ati++++=the
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
largest ^jjt+atrb+++=largest
city ^nn++++=city
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
implement ^nn+nom+++=implement
it ^pp3+it+++=it
citywide ^nn+++??+=citywide
initially ^rb+cnj+++=initially,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
targeted ^jj+atrb++xvbn+=targeted
areas ^nns++++=areas
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
extreme ^jj+atrb+++=extreme
poverty ^nn++++=poverty
and ^cc++++=and
lack ^nn++++=lack
of ^in++++=of
healthcare ^nn+++??+=healthcare
services ^nns++++=services.
. ^zz++++=EXTRAWORD
By ^in++++=By
2009 ^cd++++=2009,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population
had ^vb+hv+vrb++=had
access ^nn++++=access
to ^in++++=to
Family ^nn++++=Family
Health ^nn++++=Health
Strategy ^nn++++=Strategy
( ^zz++++=(FHS)
fhs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
services ^nns++++=services.
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response
to ^in++++=to
this ^dt+dem+++=this
limited ^jj+atrb++xvbn+=limited
coverage ^nn+nom+++=coverage,
, ^zz++++=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
government ^nn+nom+++=government
launched ^vbd+++xvbn+=launched
the ^ati++++=the
Primary ^jj+atrb+++=Primary
Health ^nn++++=Health
Care ^nn++++=Care
Reform ^nn++++=Reform
( ^zz++++=(RCAPS)
rcaps ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
2009 ^cd++++=2009.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
late ^jj++++=late
2009 ^cd++++=2009
and ^cc++++=and
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
substantial ^jj+atrb+++=substantial
investment ^nn+nom+++=investment
in ^in++++=in
primary ^jj+atrb+++=primary
health ^nn++++=health
care ^nn++++=care
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
the ^ati++++=the
expansion ^nn++++=expansion
of ^in++++=of
services ^nns++++=services
and ^cc++++=and
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
population ^nn+nom+++=population
coverage ^nn+nom+++=coverage
to ^to++++=to
60 ^cd++++=60%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health
released ^vwbn+++xvbn+=released
a ^at++++=a
revised ^jj+atrb++xvbn+=revised
version ^nn++++=version
of ^in++++=of
the ^ati++++=the
National ^jj+atrb+++=National
Primary ^jj+atrb+++=Primary
Health ^nn++++=Health
Care ^nn++++=Care
Policy ^nn++++=Policy,
, ^zz++++=EXTRAWORD
introducing ^vbg+++xvbg+=introducing
numerous ^jj+atrb+++=numerous
conceptual ^jj+atrb+++=conceptual
and ^cc+phrs+++=and
operational ^jj+atrb+++=operational
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
which ^whp+rel+pied++=which
were ^vbd+bed+aux++=were
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
detrimental ^jj++++=detrimental
to ^in++++=to
the ^ati++++=the
sustainability ^nn+nom+++=sustainability
of ^in++++=of
the ^ati++++=the
fhs ^np++++=FHS.
. ^zz++++=EXTRAWORD
