As ^in++++=As
of ^in"++++=of
April ^nr++++=April,
, ^zz++++=EXTRAWORD
the ^ati++++=the
discussion ^nn++++=discussion
regarding ^in++++=regarding
the ^ati++++=the
gradual ^jj+atrb+++=gradual
resumption ^nn+nom+++=resumption
of ^in++++=of
economic ^jj+atrb+++=economic
activities ^nns+nom+++=activities
intensified ^vbd+++xvbn+=intensified
with ^in++++=with
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
initial ^jj+atrb+++=initial
state ^nn++++=state-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
plans ^nns++++=plans
for ^in++++=for
easing ^xvbg+++xvbg+=easing
restrictions ^nns+nom+++=restrictions
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
reports ^nns++++=reports
from ^in++++=from
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
media ^nns++++=media
and ^cc++++=and
official ^jj+atrb+++=official
bulletins ^nns++++=bulletins,
, ^zz++++=EXTRAWORD
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
these ^dt+dem+++=these
plans ^nns++++=plans
began ^vbd+++xvbn+=began
in ^in++++=in
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
state ^nn++++=state
in ^in++++=in
may.(12 ^np++++=May.(12)
) ^zz++++=EXTRAWORD
