Let ^vb+++xvbn+=Let
us ^pp1o+pp1+++=us
now ^rn+tm+++=now
return ^nn++++=return
to ^in++++=to
the ^ati++++=the
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
in ^in++++=in
( ^zz++++=(1)a,
1)a ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
repeated ^vpsv++agls+xvbnx+=repeated
here ^rn+pl+++=here
as ^in++++=as
( ^zz++++=(47),
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
the ^ati++++=the
data ^nns++++=data
in ^in++++=in
( ^zz++++=(16),
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
repeated ^vpsv++agls+xvbn+=repeated
as ^in++++=as
( ^zz++++=(48)
48 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
below ^rb++++=below:
: ^zz++++=EXTRAWORD
