Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
examine ^vbi++++=examine
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
scientific ^jj+atrb+++=scientific
output ^nn++++=output
published ^vbd+++xvbn+=published
in ^in++++=in
a ^at++++=a
native ^jj+atrb+++=native
language ^nn+nom+++=language
and ^cc++++=and
its ^pp$+it+++=its
level ^nn++++=level
of ^in++++=of
visibility ^nn+nom+++=visibility
and ^cc++++=and
impact ^nn++++=impact
within ^in++++=within
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
public ^nn++++=Public
and ^cc++++=and
collective ^jj+atrb+++=Collective
health ^nn++++=Health.
. ^zz++++=EXTRAWORD
