These ^dt+dem+++=These
developments ^nns+nom+++=developments
have ^vb+hv+aux++=have
introduced ^vprf+++xvbnx+=introduced
a ^at++++=a
financial ^jj+atrb+++=financial
conflict ^nn++++=conflict
in ^in++++=in
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in+emph+++=of
course ^nn+emph"+++=course
readings ^nns++++=readings.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
2013 ^cd++++=2013
study ^vb++++=study
conducted ^vpsv++by+xvbn+=conducted
by ^in++++=by
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
authors ^nns++++=authors
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
45.1 ^cd++++=45.1
percent ^nnu++++=percent
of ^in++++=of
the ^ati++++=the
readings ^nns++++=readings
purchased ^vwbn+++xvbn+=purchased
by ^in++++=by
students ^nns++++=students
in ^in++++=in
110 ^cd++++=110
course ^nn++++=course
packs ^nns++++=packs
at ^rb++++=at
Stanford ^np++++=Stanford
University ^nn+nom+++=University
and ^cc++++=and
Queen ^npt++++=Queen
s ^zz++++=s
University ^npl+nom+++=University
were ^vbd+bed+vrb++=were
already ^rb++++=already
freely ^rb++++=freely
available ^jj++++=available
to ^in++++=to
them ^pp3o+pp3+++=them
through ^in++++=through
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
libraries ^nns++++=libraries
or ^cc++++=or
via ^in++++=via
open ^jj+atrb+++=open
access ^nn++++=access
( ^zz++++=(Evans
evans ^np++++=EXTRAWORD
and ^cc++++=and
Willinsky ^np+++??+=Willinsky,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
a ^at++++=a
2017 ^cd++++=2017
study ^nn++++=study
of ^in++++=of
12 ^cd++++=12
courses ^nns++++=courses
at ^in++++=at
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
Toronto ^np++++=Toronto
identified ^vwbn+++xvbn+=identified
a ^at++++=a
double ^jj++++=double-charging
- ^zz++++=EXTRAWORD
charging ^vbg+++xvbg+=EXTRAWORD
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
as ^ql++++=as
55 ^cd++++=55
percent ^nnu++++=percent
of ^in++++=of
the ^ati++++=the
assigned ^jj+atrb++xvbn+=assigned
readings ^nns++++=readings
were ^vbd+bed+vrb++=were
already ^rb++++=already
licensed ^jj+pred+++=licensed
by ^in++++=by
the ^ati++++=the
library ^nn+nom+++=library
and ^cc++++=and
fully ^rb+amp+++=fully
accessible ^jj++++=accessible
in ^in++++=in
electronic ^jj+atrb+++=electronic
form ^nn++++=form
( ^zz++++=(Cancilla,
cancilla ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Glushko ^np+++??+=Glushko,
, ^zz++++=EXTRAWORD
Orfano ^np++++=Orfano
& ^zz++++=&
Slaght ^np+++??+=Slaght,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
such ^abl++++=such
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
students ^nns++++=students
pay ^nn++++=pay
royalty ^nn++++=royalty
fees ^nns++++=fees
for ^in++++=for
course ^nn++++=course
readings ^nns++++=readings
that ^tht+rel+obj++=that
the ^ati++++=the
library ^nn+nom+++=library
has ^vbz+hvz+vrb++=has
already ^rb++++=already
licensed ^jj++++=licensed
on ^in++++=on
a ^at++++=a
campus ^nn++++=campus-wide
- ^zz++++=EXTRAWORD
wide ^jj+atrb+++=EXTRAWORD
basis ^nn++++=basis,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
funded ^jj+++xvbn+=funded
through ^in++++=through
student ^nn++++=student
tuition ^nn+nom+++=tuition
fees ^nns++++=fees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
provides ^vbz+vsua+++=provides
a ^at++++=a
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
update ^nn++++=update
on ^in++++=on
this ^dt+dem+++=this
issue ^nn++++=issue
by ^in++++=by
analyzing ^xvbg+++xvbg+=analyzing
3,391 ^cd++++=3,391
Canadian ^nn++++=Canadian
university ^npl+nom+++=university
syllabi ^nn+++??+=syllabi
from ^in++++=from
34 ^cd++++=34
institutions ^nns+nom+++=institutions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
demonstrates ^nns+nom+++=demonstrates
that ^tht+vcmp+++=that
double ^jj++++=double-charging
- ^zz++++=EXTRAWORD
charging ^vbg+++xvbg+=EXTRAWORD
may ^md+pos+++=may
affect ^vb++++=affect
over ^in++++=over
90 ^cd++++=90
percent ^nnu++++=percent
of ^in++++=of
assigned ^xvbn+++xvbn+=assigned
readings ^nns++++=readings.
. ^zz++++=EXTRAWORD
By ^in++++=By
differentiating ^nn++++=differentiating
between ^in++++=between
academic ^jj++++=academic
and ^cc++++=and
trade ^nn++++=trade
publications ^nns+nom+++=publications,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
proposes ^vbz+vsua+++=proposes
a ^at++++=a
resolution ^nn+nom+++=resolution
for ^in++++=for
all ^abn++++=all
stakeholders ^nns+nom+++=stakeholders
through ^in++++=through
a ^at++++=a
three ^cd++++=three-step
- ^zz++++=EXTRAWORD
step ^vb++++=EXTRAWORD
syllabus ^nn++++=syllabus
rule ^nn++++=rule.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
are ^vb+ber+aux++=are
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
inform ^vbi++++=inform
ongoing ^jj+atrb++xvbg+=ongoing
legal ^jj+atrb+++=legal
