However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
increase ^nn++++=increase
in ^in++++=in
enrolments ^nns+nom+++=enrolments
has ^vbz+hvz+aux++=has
stagnated ^vprf+++xvbnx+=stagnated
under ^in++++=under
the ^ati++++=the
administrations ^nns+nom+++=administrations
of ^in++++=of
Brazil ^np++++=Brazil
s ^zz++++=s
last ^ap++++=last
three ^cd++++=three
presidents ^npts++++=presidents
Dilma ^np+++??+=Dilma
Rousseff ^np+++??+=Rousseff,
, ^zz++++=EXTRAWORD
Michel ^np++++=Michel
Temer ^np+++??+=Temer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jair ^np+++??+=Jair
Bolsonaro ^np+++??+=Bolsonaro
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
reductions ^nns+nom+++=reductions
in ^in++++=in
the ^ati++++=the
budgets ^nns++++=budgets
of ^in++++=of
Prouni ^np+++??+=ProUni
and ^cc++++=and
Fies ^np+++??+=FIES.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
2010 ^cd++++=2010
and ^cc++++=and
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
approved ^jj+atrb++xvbn+=approved
student ^nn++++=student
loans ^nns++++=loans
increased ^vbd+++xvbn+=increased
from ^in++++=from
70,000 ^cd++++=70,000
to ^to++++=to
739,000 ^cd++++=739,000.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
figure ^nn++++=figure
subsequently ^rb+tm+++=subsequently
declined ^vpsv++by+xvbn+=declined
by ^in++++=by
62 ^cd++++=62%
% ^zz++++=EXTRAWORD
to ^to++++=to
281,000 ^cd++++=281,000
in ^in++++=in
2015 ^cd++++=2015
and ^cc++++=and
further ^rbr++++=further
to ^to++++=to
170,095 ^cd++++=170,095
by ^in++++=by
2017 ^cd++++=2017.
. ^zz++++=EXTRAWORD
In ^in++++=In
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
approved ^xvbn+++xvbn+=approved
loans ^nns++++=loans
rose ^vbd+++xvbn+=rose
to ^to++++=to
300,000 ^cd++++=300,000;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
24 ^cd++++=24%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+pdem+++=these
were ^vbd+bed+aux++=were
granted ^vpsv++agls+xvbnx+=granted
under ^in++++=under
new ^nn++++=new
financing ^vwbg+++xvbg+=financing
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
considered ^vbd+vprv++xvbn+=considered
family ^nn++++=family
income ^nn++++=income
and ^cc++++=and
other ^ap++++=other
sources ^nns++++=sources
of ^in++++=of
funding ^xvbg+++xvbg+=funding.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
loans ^nns++++=loans
increased ^vbd+++xvbn+=increased,
, ^zz++++=EXTRAWORD
the ^ati++++=the
revised ^jj+atrb++xvbn+=revised
eligibility ^nn+nom+++=eligibility
requirements ^nns+nom+++=requirements
limited ^vbd+++xvbn+=limited
access ^nn++++=access
for ^in++++=for
many ^ap++++=many
applicants ^nns+nom+++=applicants.
. ^zz++++=EXTRAWORD
Projections ^nns+nom+++=Projections
indicate ^nn+nom+++=indicate
