Tetrasporophyte ^np+++??+=Tetrasporophyte
plant ^nn++++=plant
thalli ^nn+++??+=thalli
of ^in++++=of
B ^zz++++=B.
. ^zz++++=EXTRAWORD
binderi ^nn+++??+=binderi
( ^zz++++=(3
3 ^zz++++=EXTRAWORD
cm ^nnu++++=cm
in ^in++++=in
primary ^jj+atrb+++=primary
axis ^nn++++=axis
length ^nn++++=length
with ^in++++=with
lateral ^jj+atrb+++=lateral
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
weighing ^nvbg+++xvbg+=weighing
200 ^cd++++=200
mg ^nnu++++=mg
20 ^cd++++=20,
, ^zz++++=EXTRAWORD
n ^zz++++=n
= ^zz++++==
5 ^zz++++=5
per ^in++++=per
treatment ^nn+nom+++=treatment)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
initially ^rb+tm+splt++=initially
washed ^vpsv++agls+xvbnx+=washed
with ^in++++=with
distilled ^jj+atrb+++=distilled
water ^nn++++=water
and ^cc++++=and
then ^rn+tm+++=then
immersed ^vbd+++xvbn+=immersed
in ^in++++=in
a ^at++++=a
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
( ^zz++++=(w/w)
w ^zz++++=EXTRAWORD
sulfonic ^jj+atrb+++=sulfonic
acid ^nn++++=acid-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
liquid ^jj+atrb+++=liquid
detergent ^nn++++=detergent
solution ^nn+nom+++=solution
for ^in++++=for
60 ^cd++++=60
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
protocol ^nn++++=protocol
described ^vwbn+++xvbn+=described
by ^in++++=by
Fernandes ^np++++=Fernandes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Saminathan ^np+nom++??+=Saminathan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014).
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^in++++=After
detergent ^nn++++=detergent
treatment ^nn+nom+++=treatment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
thalli ^nn+++??+=thalli
were ^vbd+bed+aux++=were
thoroughly ^rb+amp+splt++=thoroughly
rinsed ^vpsv++agls+xvbnx+=rinsed
with ^in++++=with
sterilized ^vbd+++xvbn+=sterilized
seawater ^jjr++++=seawater
to ^to++++=to
ensure ^vbi+vprv+++=ensure
complete ^jj+atrb+++=complete
removal ^nn++++=removal
of ^in++++=of
detergent ^nn++++=detergent
residues ^nns++++=residues.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
thalli ^nn+++??+=thalli
were ^vbd+bed+aux++=were
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
disinfection ^nn+nom+++=disinfection
by ^in++++=by
immersion ^nn++++=immersion
in ^in++++=in
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
povidone ^nn+++??+=povidone
iodine ^nn+++??+=iodine
( ^zz++++=(POVIDINE
povidine ^nn+++??+=EXTRAWORD
) ^zz++++=)
for ^in++++=for
varying ^xvbg+++xvbg+=varying
durations ^nns+nom+++=durations:
: ^zz++++=EXTRAWORD
15 ^cd++++=15
seconds ^nns++++=seconds
( ^zz++++=(treatment
treatment ^nn+nom+++=EXTRAWORD
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
30 ^cd++++=30
seconds ^nns++++=seconds
( ^zz++++=(treatment
treatment ^nn+nom+++=EXTRAWORD
2 ^zz++++=2),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1 ^zz++++=1
minute ^nn++++=minute
( ^zz++++=(treatment
treatment ^nn+nom+++=EXTRAWORD
3 ^zz++++=3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2 ^zz++++=2
minutes ^nns++++=minutes
( ^zz++++=(treatment
treatment ^nn+nom+++=EXTRAWORD
4 ^zz++++=4),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Saminathan ^np+nom++??+=Saminathan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Ali ^np++++=Ali
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018).
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additional ^jj+atrb+++=Additional
thalli ^nn+++??+=thalli
were ^vbd+bed+aux++=were
immersed ^vpsv++agls+xvbnx+=immersed
in ^in++++=in
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
solution ^nn+nom+++=solution
( ^zz++++=(0.2%
0.2 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
active ^jj+atrb+++=active
chlorine ^nn+++??+=chlorine
in ^in++++=in
deionized ^jj+atrb++xvbn+=deionized
water ^nn++++=water)
) ^zz++++=EXTRAWORD
for ^in++++=for
1 ^zz++++=1
minute ^nn++++=minute
( ^zz++++=(treatment
treatment ^nn+nom+++=EXTRAWORD
5 ^zz++++=5),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2 ^zz++++=2
minutes ^nns++++=minutes
( ^zz++++=(treatment
treatment ^nn+nom+++=EXTRAWORD
6 ^zz++++=6),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
5 ^zz++++=5
minutes ^nns++++=minutes
( ^zz++++=(treatment
treatment ^nn+nom+++=EXTRAWORD
7 ^zz++++=7),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
Holdt ^np+++??+=Holdt
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014).
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^in++++=After
chemical ^jj+atrb+++=chemical
treatments ^nns+nom+++=treatments,
, ^zz++++=EXTRAWORD
all ^abn++++=all
thalli ^nn+++??+=thalli
were ^vbd+bed+aux++=were
again ^rb+tm+splt++=again
rinsed ^vpsv++agls+xvbnx+=rinsed
several ^ap++++=several
times ^nns++++=times
with ^in++++=with
sterilized ^vbd+++xvbn+=sterilized
seawater ^jjr++++=seawater
to ^to++++=to
remove ^vbi++++=remove
any ^dti++++=any
residual ^jj++++=residual
disinfectant ^jj++++=disinfectant.
. ^zz++++=EXTRAWORD
A ^at++++=A
control ^nn++++=control
group ^nn++++=group
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
thalli ^nn+++??+=thalli
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
not ^xnot++not++=not
washed ^vbd+++xvbn+=washed
with ^in++++=with
distilled ^jj+atrb+++=distilled
water ^nn++++=water
or ^cc++++=or
exposed ^vwbn+++xvbn+=exposed
to ^in++++=to
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
tested ^vpsv++agls+xvbn+=tested
chemical ^jj+atrb+++=chemical
treatments ^nns+nom+++=treatments.
. ^zz++++=EXTRAWORD
