As ^in++++=As
identified ^nn++++=identified
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
27 ^cd++++=27
Brazilian ^jj+atrb+++=Brazilian
federative ^jj+atrb+++=federative
units ^nns++++=units,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
18 ^cd++++=18
developed ^xvbn+++xvbn+=developed
plans ^nns++++=plans
to ^to+ncmp+++=to
resume ^vbi++++=resume
economic ^jj+atrb+++=economic
activities ^nns+nom+++=activities
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
epidemiological ^jj++++=epidemiological
and ^cc++++=and
health ^nn++++=health
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^xvbg+++xvbg+=finding
raises ^vbz++++=raises
questions ^nns+nom+++=questions
regarding ^in++++=regarding
the ^ati++++=the
criteria ^nns++++=criteria
employed ^vwbn+++xvbn+=employed
by ^in++++=by
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
nine ^cd++++=nine
federative ^jj+atrb+++=federative
units ^nns++++=units,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
either ^dtx++++=either
did ^vbd+dod+aux++=did
not ^xnot++not++=not
establish ^vb+vprv+++=establish
formal ^jj+atrb+++=formal
reopening ^nn++++=reopening
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
implemented ^xvbn+++xvbn+=implemented
such ^abl++++=such
strategies ^nns+++??+=strategies
only ^rb+down+++=only
at ^rb++++=at
the ^ati++++=the
municipal ^jj+atrb+++=municipal
level ^nn++++=level,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
proceeded ^vbd+++xvbn+=proceeded
without ^in++++=without
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
objective ^jj+atrb+++=objective
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
