During ^in++++=During
the ^ati++++=the
Late ^jj+atrb+++=Late
Holocene ^np+++??+=Holocene,
, ^zz++++=EXTRAWORD
20 ^cd++++=20
diatom ^nn+++??+=diatom
species ^nns++++=species
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
a ^at++++=a
maximum ^nn++++=maximum
relative ^jj+atrb+++=relative
abundance ^nn+nom+++=abundance
of ^in++++=of
45.2 ^cd++++=45.2%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
five ^cd++++=five
species ^nn++++=species
( ^zz++++=(Aulacoseira
aulacoseira ^nn+++??+=EXTRAWORD
crassipunctata ^nn+++??+=crassipunctata,
, ^zz++++=EXTRAWORD
Gomphonema ^np+++??+=Gomphonema
pseudosphaerophorum ^nn+++??+=pseudosphaerophorum,
, ^zz++++=EXTRAWORD
Sellaphora ^np+++??+=Sellaphora
emilia ^nn+++??+=emilia,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
sassiana ^nn+++??+=sassiana,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lacuneolimna ^np+++??+=Lacuneolimna
novagallia ^nn+++??+=novagallia)
) ^zz++++=EXTRAWORD
represent ^vb++++=represent
new ^jj++++=new
records ^vbz+vpub+++=records
for ^in++++=for
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
diatom ^nn+++??+=diatom
assemblage ^nn+nom+++=assemblage
during ^in++++=during
this ^dt+dem+++=this
period ^nn++++=period
was ^vbd+bedz+aux++=was
dominated ^vpsv++by+xvbnx+=dominated
by ^in++++=by
benthic ^jj+atrb+++=benthic
species ^nns++++=species,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
indicative ^jj+pred+++=indicative
of ^in++++=of
shallower ^jjr+atrb+++=shallower
water ^nn++++=water
conditions ^nns+nom+++=conditions
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
low ^jj+atrb+++=low
conductivity ^nn+nom+++=conductivity,
, ^zz++++=EXTRAWORD
oligotrophic ^jj+atrb+++=oligotrophic
status ^nn++++=status,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
acidic ^jj+atrb+++=acidic
ph ^nn++++=pH
( ^zz++++=(Moro
moro ^nn+++??+=EXTRAWORD
& ^zz++++=&
F ^zz++++=F
rstenberger ^jjr++++=rstenberger
1993 ^cd+date+++=1993;
; ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Dam ^nn++++=Dam
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994;
; ^zz++++=EXTRAWORD
Metzeltin ^np+++??+=Metzeltin
& ^zz++++=&
Lange ^np+++??+=Lange-Bertalot
- ^zz++++=EXTRAWORD
bertalot ^nn+++??+=EXTRAWORD
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
Bahls ^np+++??+=Bahls
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Tudesque ^np+++??+=Tudesque
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
similar ^jj+atrb+++=similar
pattern ^nn++++=pattern
was ^vbd+bedz+aux++=was
observed ^vpsv++by+xvbnx+=observed
by ^in++++=by
Cardozo ^np+++??+=Cardozo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
Lake ^nn++++=Lake
Tota ^np+++??+=Tota,
, ^zz++++=EXTRAWORD
Colombia ^np+++??+=Colombia,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
Late ^jj+atrb+++=Late
Holocene ^np+++??+=Holocene,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
a ^at++++=a
drier ^jjr+atrb+++=drier
climate ^nn+nom+++=climate
with ^in++++=with
elevated ^jj+atrb+++=elevated
temperatures ^nns++++=temperatures
and ^cc++++=and
reduced ^jj+atrb+++=reduced
precipitation ^nn+nom+++=precipitation.
. ^zz++++=EXTRAWORD
