Goffman ^np+++??+=Goffman
s ^zz++++=s
concepts ^nns++++=concepts
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
utilized ^vpsv++agls+xvbnx+=utilized
to ^in++++=to
analyze ^nn+++??+=analyze
various ^jj+atrb+++=various
aspects ^nns++++=aspects
of ^in++++=of
healthcare ^nn+++??+=healthcare,
, ^zz++++=EXTRAWORD
including ^in++++=including
institutional ^jj+atrb+++=institutional
dynamics ^nn++++=dynamics
and ^cc++++=and
the ^ati++++=the
doctor ^nn++++=doctor-patient
- ^zz++++=EXTRAWORD
patient ^nn++++=EXTRAWORD
relationship ^nn+nom+++=relationship,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
diseases ^nns++++=diseases
on ^in++++=on
the ^ati++++=the
subjectivity ^nn+nom+++=subjectivity
of ^in++++=of
affected ^xvbn+++xvbn+=affected
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
