The ^ati++++=The
data ^nns++++=data
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
trends ^nns++++=trends
across ^in+pl+++=across
the ^ati++++=the
years ^nns++++=years
are ^vb+ber+vrb++=are
largely ^rb++++=largely
consistent ^jj+pred+++=consistent,
, ^zz++++=EXTRAWORD
with ^in++++=with
minor ^jj+atrb+++=minor
improvements ^nns+nom+++=improvements
observed ^vbd+++xvbn+=observed
in ^in++++=in
certain ^jj+atrb+++=certain
indicators ^nns++++=indicators
during ^in++++=during
2019 ^cd++++=2019
and ^cc++++=and
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
Indicator ^nn++++=Indicator
1 ^zz++++=1
( ^zz++++=(Bachelor
bachelor ^nn++++=EXTRAWORD
graduation ^nn+nom+++=graduation
rate ^nn++++=rate),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Indicator ^nn++++=Indicator
2 ^zz++++=2
( ^zz++++=(Master
master ^nn++++=EXTRAWORD
graduation ^nn+nom+++=graduation
rate ^nn++++=rate),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Indicators ^nns++++=Indicators
24 ^cd++++=24
to ^to++++=to
27 ^cd++++=27
( ^zz++++=(Foreign
foreign ^jj+atrb+++=EXTRAWORD
language ^nn+nom+++=language
bachelor ^nn++++=bachelor
programmes ^nns++++=programmes,
, ^zz++++=EXTRAWORD
Foreign ^jj+atrb+++=Foreign
language ^nn+nom+++=language
master ^nn++++=master
programmes ^nns++++=programmes,
, ^zz++++=EXTRAWORD
Student ^nn++++=Student
mobility ^nn+nom+++=mobility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
International ^jj+atrb+++=International
academic ^jj+atrb+++=academic
staff ^nn++++=staff).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
a ^at++++=a
gradual ^jj+atrb+++=gradual
increase ^nn++++=increase
in ^in++++=in
data ^nns++++=data
availability ^nn+nom+++=availability;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
level ^nn++++=level
of ^in++++=of
data ^nns++++=data
completeness ^nns+nom+++=completeness
remains ^nns++++=remains
suboptimal ^jj++++=suboptimal.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
12 ^cd++++=12
out ^rp+pl+++=out
of ^in++++=of
35 ^cd++++=35
indicators ^nns++++=indicators
( ^zz++++=(34.29%)
34.29 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
more ^rbr++++=more
than ^in++++=than
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
data ^nns++++=data
availability ^nn+nom+++=availability
in ^in++++=in
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
performance ^nn+nom+++=performance
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
institutions ^nns+nom+++=institutions
will ^md+prd+++=will
focus ^vb++++=focus
on ^in++++=on
these ^dt+dem+++=these
12 ^cd++++=12
indicators ^nns++++=indicators
to ^to++++=to
provide ^vbi+vsua+++=provide
a ^at++++=a
more ^rbr++++=more
reliable ^jj+atrb+++=reliable
assessment ^nn+nom+++=assessment
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
available ^jj+atrb+++=available
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
