Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
research ^nn++++=research
output ^nn++++=output
by ^in++++=by
authors ^nns++++=authors
affiliated ^vbd+++xvbn+=affiliated
with ^in++++=with
institutions ^nns+nom+++=institutions
in ^in++++=in
countries ^nns++++=countries
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
the ^ati++++=the
most ^ql+emph+++=most
publications ^nns+nom+++=publications
to ^in++++=to
Scielo ^np+++??+=SciELO
Ci ^np+++??+=CI
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
For ^in++++=For
countries ^nns++++=countries
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
Scielo ^np+++??+=SciELO
Network ^nn++++=Network,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
publications ^nns+nom+++=publications
in ^in++++=in
the ^ati++++=the
national ^jj+atrb+++=national
language ^nn+nom+++=language
is ^vbz+bez+vrb++=is
at ^rb++++=at
least ^rb"++++=least
80 ^cd++++=80%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
United ^np++++=United
States ^np++++=States
( ^zz++++=(USA)
usa ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
an ^at++++=an
exception ^nn+nom+++=exception,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
publication ^nn+nom+++=publication
rate ^nn++++=rate
in ^in++++=in
the ^ati++++=the
national ^jj+atrb+++=national
language ^nn+nom+++=language
of ^in++++=of
73.6 ^cd++++=73.6%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
noteworthy ^jj+pred+++=noteworthy
that ^tht+jcmp+++=that
the ^ati++++=the
Usa ^np++++=USA
does ^vbz+doz+aux++=does
not ^xnot++not++=not
have ^vb+hv+vrb++=have
its ^pp$+it+++=its
own ^ap++++=own
journals ^nns+nom+++=journals
included ^vbd+++xvbn+=included
in ^in++++=in
Scielo ^np+++??+=SciELO
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
authors ^nns++++=authors
from ^in++++=from
the ^ati++++=the
Usa ^np++++=USA
are ^vb+ber+aux++=are
primarily ^rb+down+splt++=primarily
listed ^vpsv++agls+xvbnx+=listed
as ^ql++++=as
co ^nn++++=co-authors
- ^zz++++=EXTRAWORD
authors ^nns++++=EXTRAWORD
in ^in++++=in
research ^nn++++=research
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
latin ^jj+atrb+++=Latin
america ^np++++=America
in ^in++++=in
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
these ^dt+dem+++=these
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
