Leaves ^nns++++=Leaves
are ^vb+ber+aux++=are
clustered ^vpsv++agls+xvbnx+=clustered
distally ^rb+cnj+++=distally,
, ^zz++++=EXTRAWORD
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
range ^nn++++=range
from ^in++++=from
ovate ^nn++++=ovate
to ^to++++=to
oblate ^vbi++++=oblate-lanceolate
- ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=EXTRAWORD
in ^in++++=in
shape ^nn++++=shape;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
are ^vb+ber+vrb++=are
either ^dtx++++=either
shortly ^rb+tm+++=shortly
excurrent ^jj++++=excurrent
or ^cc++++=or
terminate ^nn+nom+++=terminate
in ^in++++=in
an ^at++++=an
apiculate ^nn+nom+++=apiculate
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
The ^ati++++=The
capsule ^nn++++=capsule
is ^vbz+bez+aux++=is
easily ^rb++splt++=easily
detached ^vpsv++agls+xvbnx+=detached
and ^cc+phrs+++=and
lacks ^vbz++++=lacks
stomata ^nn+++??+=stomata.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+vrb++=is
similar ^jj+pred+++=similar
to ^in++++=to
Crumuscus ^np+++??+=Crumuscus
vitalis ^nns+++??+=vitalis
B ^zz++++=B
ck ^nn+++??+=ck
& ^zz++++=&
Snider ^np+++??+=Snider
but ^cc++++=but
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
julaceous ^jj++++=julaceous
sterile ^jj++++=sterile
shoots ^vbz++++=shoots
( ^zz++++=(Sch
sch ^nn+++??+=EXTRAWORD
fer ^&fw++++=fer-Verwimp
- ^zz++++=EXTRAWORD
verwimp ^nn+++??+=EXTRAWORD
1996 ^cd+date+++=1996).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
specimens ^nns++++=specimens
examined ^vwbn+++xvbn+=examined
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
in ^in++++=in
high ^jj++++=high-altitude
- ^zz++++=EXTRAWORD
altitude ^nn++++=EXTRAWORD
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=occurring
as ^ql++++=as
rupicolous ^jj++++=rupicolous
in ^in++++=in
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
from ^in++++=from
montane ^nn+++??+=montane
to ^in++++=to
high ^jj+atrb+++=high
montane ^nn+++??+=montane
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo,
, ^zz++++=EXTRAWORD
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Paran ^np+++??+=Paran
, ^zz++++=,
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
santa ^&fw++++=Santa
catarina ^np++++=Catarina;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
endemic ^jj+pred+++=endemic
to ^in++++=to
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
