Data ^nns++++=Data
collection ^nn+nom+++=collection
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
a ^at++++=a
structured ^jj+atrb++xvbn+=structured
and ^cc+phrs+++=and
standardized ^jj+atrb++xvbn+=standardized
script ^nn++++=script
developed ^vbd+++xvbn+=developed
with ^in++++=with
Microsoft ^np+++??+=Microsoft
Office ^nn++++=Office
Excel ^np+++??+=Excel
version ^nn++++=version
16.0 ^cd+date+++=16.0
and ^cc++++=and
made ^vbd+++xvbn+=made
accessible ^jj++++=accessible
via ^in++++=via
cloud ^nn++++=cloud
computing ^j++++=computing.
. ^zz++++=EXTRAWORD
Prior ^in+cmpx+++=Prior
to ^in++++=to
data ^nns++++=data
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
training ^nn++++=training
was ^vbd+bedz+aux++=was
provided ^vpsv++agls+xvbnx+=provided
to ^to++++=to
ensure ^vbi+vprv+++=ensure
consistency ^nn++++=consistency
in ^in++++=in
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
the ^ati++++=the
active ^jj+atrb+++=active
search ^nn++++=search
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
data ^nns++++=data
extraction ^nn+nom+++=extraction,
, ^zz++++=EXTRAWORD
a ^at++++=a
double ^jj++++=double-check
- ^zz++++=EXTRAWORD
check ^vb+vprv+tht0++=EXTRAWORD
procedure ^nn++++=procedure
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
in ^in++++=in
which ^whp+rel+pied++=which
one ^cd1++++=one
author ^nn++++=author
reviewed ^vwbn+++xvbn+=reviewed
the ^ati++++=the
records ^nns++++=records,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
second ^od++++=second
author ^nn++++=author
independently ^rb++++=independently
verified ^vpsv++agls+xvbn+=verified
their ^pp$+pp3+++=their
accuracy ^nn+nom+++=accuracy.
. ^zz++++=EXTRAWORD
