As ^in++++=As
reported ^nn++++=reported
in ^in++++=in
previous ^jj+atrb+++=previous
studies[10 ^nn+++??+=studies[10],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
articles ^nns++++=articles
published ^vbd+++xvbn+=published
in ^in++++=in
the ^ati++++=the
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science,
, ^zz++++=EXTRAWORD
a ^at++++=a
leading ^jj+++xvbg+=leading
international ^jj+atrb+++=international
scientific ^jj+atrb+++=scientific
database ^nn+++??+=database,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
95.87 ^cd++++=95.87%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^nn++++=total,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Spanish ^nn++++=Spanish
at ^in++++=at
3 ^zz++++=3%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
European ^jj+atrb+++=European
Union ^nn++++=Union
member ^nn++++=member
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
93 ^cd++++=93%
% ^zz++++=EXTRAWORD
of ^in++++=of
documents ^nns+nom+++=documents
are ^vb+ber+aux++=are
written ^vpsv++agls+xvbnx+=written
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
with ^in++++=with
German ^jj++++=German
( ^zz++++=(2.64%),
2.64% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
French ^jj++++=French
( ^zz++++=(1.71%),
1.71% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Spanish ^jj++++=Spanish
( ^zz++++=(1.36%)
1.36 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
comprising ^vbg+++xvbg+=comprising
smaller ^jjr+atrb+++=smaller
proportions ^nns+nom+++=proportions.
. ^zz++++=EXTRAWORD
In ^in++++=In
Latin ^jj++++=Latin
American ^jj++++=American
( ^zz++++=(LAC)
lac ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
86 ^cd++++=86%
% ^zz++++=EXTRAWORD
of ^in++++=of
records ^nns++++=records
are ^vb+ber+aux++=are
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
with ^in++++=with
Portuguese ^nn+nom+++=Portuguese
and ^cc++++=and
Spanish ^jj++++=Spanish
representing ^jj+++xvbg+=representing
7.35 ^cd++++=7.35%
% ^zz++++=EXTRAWORD
and ^cc++++=and
6.77 ^cd++++=6.77%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
data ^nns++++=data
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
English ^jj++++=English
serves ^vbz++++=serves
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
language ^nn+nom+++=language
of ^in++++=of
scientific ^jj+atrb+++=scientific
collaboration ^nn+nom+++=collaboration
between ^in++++=between
European ^jj+atrb+++=European
Union ^nn++++=Union
and ^cc++++=and
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
countries ^nns++++=countries
( ^zz++++=(EU-LAC),
eu ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
lac ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
Spanish ^jj++++=Spanish
also ^rb++++=also
maintains ^vbz+vpub+++=maintains
a ^at++++=a
notable ^jj+atrb+++=notable
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
trend ^nn++++=trend
is ^vbz+bez+vrb++=is
attributable ^jj+pred+++=attributable
to ^in++++=to
the ^ati++++=the
significant ^jj+atrb+++=significant
role ^nn++++=role
of ^in++++=of
Spain ^np++++=Spain
in ^in++++=in
scientific ^jj+atrb+++=scientific
collaboration ^nn+nom+++=collaboration
with ^in++++=with
Latin ^jj+atrb+++=Latin
America ^np++++=America
and ^cc++++=and
the ^ati++++=the
recent ^jj+atrb+++=recent
increase ^nn++++=increase
in ^in++++=in
Spanish ^jj++++=Spanish-language
- ^zz++++=EXTRAWORD
language ^nn+nom+++=EXTRAWORD
scientific ^jj+atrb+++=scientific
journals ^nns+nom+++=journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
the ^ati++++=the
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
published ^jj+++xvbn+=published
in ^in++++=in
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
The ^ati++++=The
expansion ^nn++++=expansion
of ^in++++=of
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science
coverage ^nn+nom+++=coverage
between ^in++++=between
2005 ^cd++++=2005
and ^cc++++=and
2010 ^cd++++=2010
( ^zz++++=(TESTA,
testa ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011)
) ^zz++++=EXTRAWORD
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
this ^dt+dem+++=this
increase ^nn++++=increase,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
indexed ^vbd+++xvbn+=indexed
journals ^nns+nom+++=journals
in ^in++++=in
Brazil ^np++++=Brazil
rising ^vwbg+++xvbg+=rising
from ^in++++=from
27 ^cd++++=27
to ^to++++=to
132 ^cd++++=132,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Argentina ^np++++=Argentina,
, ^zz++++=EXTRAWORD
Chile ^np+++??+=Chile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mexico ^np++++=Mexico
reaching ^vwbg+++xvbg+=reaching
15 ^cd++++=15,
, ^zz++++=EXTRAWORD
35 ^cd++++=35,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
26 ^cd++++=26
indexed ^vbd+++xvbn+=indexed
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Collazo ^np+++??+=Collazo-Reyes
- ^zz++++=EXTRAWORD
reyes ^nns+++??+=EXTRAWORD
[ ^zz++++=[12],
12 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
increased ^jj+atrb++xvbn+=increased
presence ^nn+nom+++=presence
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
journals ^nns+nom+++=journals
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese
becoming ^vwbg+++xvbg+=becoming
the ^ati++++=the
second ^od++++=second
most ^ql+emph+++=most
widely ^rb++++=widely
used ^vbd+++xvbn+=used
language ^nn+nom+++=language
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
s ^zz++++=s
scientific ^jj+atrb+++=scientific
output ^nn++++=output
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time.
. ^zz++++=EXTRAWORD
