Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
30 ^cd++++=30
amphibian ^jj+atrb+++=amphibian
species ^nn++++=species
( ^zz++++=(approximately
approximately ^rb+down+++=EXTRAWORD
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj++++=total)
) ^zz++++=EXTRAWORD
and ^cc++++=and
10 ^cd++++=10
reptile ^nn+++??+=reptile
species ^nn++++=species
( ^zz++++=(28%)
28 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
recorded ^jj+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT
are ^vb+ber+vrb++=are
endemic ^jj+pred+++=endemic
to ^in++++=to
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
biome ^nn+++??+=biome
( ^zz++++=(Tables
tables ^nns++++=EXTRAWORD
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
amphibian ^jj+atrb+++=amphibian
species ^nns++++=species
Aplastodiscus ^np+++??+=Aplastodiscus
albofrenatus ^nns+++??+=albofrenatus,
, ^zz++++=EXTRAWORD
Dendrophryniscus ^np+++??+=Dendrophryniscus
brevipollicatus ^nns+++??+=brevipollicatus,
, ^zz++++=EXTRAWORD
Euparkerella ^np+++??+=Euparkerella
brasiliensis ^nns+++??+=brasiliensis,
, ^zz++++=EXTRAWORD
Hylodes ^np+++??+=Hylodes
nasus ^nns+++??+=nasus,
, ^zz++++=EXTRAWORD
Ischnocnema ^np+++??+=Ischnocnema
guentheri ^nn+++??+=guentheri,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Scinax ^np+++??+=Scinax
trapicheiroi ^nn+++??+=trapicheiroi
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
endemic ^jj++++=endemic
to ^in++++=to
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn+nom+++=majority
of ^in++++=of
amphibian ^nn++++=amphibian
and ^cc++++=and
reptile ^nn+++??+=reptile
species ^nns++++=species
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
Least ^rbt++++=Least
Concern ^nn++++=Concern
or ^cc++++=or
Not ^xnot++not++=Not
Threatened ^vbd+++xvbn+=Threatened
according ^in++++=according
to ^in++++=to
international ^jj++++=international,
, ^zz++++=EXTRAWORD
national ^jj++++=national
( ^zz++++=(Brazilian),
brazilian ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
state ^nn++++=state
conservation ^nn+nom+++=conservation
status ^nn++++=status
lists ^nns++++=lists.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
six ^cd++++=six
amphibian ^jj+atrb+++=amphibian
species ^nns++++=species
and ^cc++++=and
one ^cd1++++=one
reptile ^nn+++??+=reptile
species ^nns++++=species
recorded ^vbd+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT
are ^vb+ber+aux++=are
listed ^vpsv++agls+xvbnx+=listed
in ^in++++=in
a ^at++++=a
threatened ^jj+atrb++xvbn+=threatened
category ^nn++++=category.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
populations ^nns+nom+++=populations
of ^in++++=of
15 ^cd++++=15
amphibian ^jj+atrb+++=amphibian
species ^nns++++=species
are ^vb+ber+aux++=are
believed ^vpsv++agls+xvbnx+=believed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
declining ^vbg+++xvbgx+=declining
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
reptile ^nn+++??+=reptile
species ^nns++++=species,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lizard ^nn+++??+=lizard
Hemidactylus ^np+++??+=Hemidactylus
mabouia ^nn+++??+=mabouia
and ^cc++++=and
the ^ati++++=the
chelonian ^nn++++=chelonian
Trachemys ^np+++??+=Trachemys
Scripta ^nn++++=scripta,
 ^zz++++=EXTRAWORD
Are ^vb+ber+aux++=are
Considered ^vbd+vprv++xvbn+=considered
Exotic ^jj++++=exotic
 ^zz++++=(Table
Table ^np++++=EXTRAWORD
 ^zz++++=2).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
