Widespread ^jj+atrb+++=Widespread
outbreaks ^nns++++=outbreaks
of ^in++++=of
infectious ^jj+atrb+++=infectious
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
psychological ^jj+atrb+++=psychological
distress ^nns+nom+++=distress
and ^cc++++=and
symptoms ^nns++++=symptoms
of ^in++++=of
mental ^jj+atrb+++=mental
illness ^nns+nom+++=illness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn+nom+++=majority
of ^in++++=of
existing ^xvbg+++xvbg+=existing
studies ^nns++++=studies
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
China ^np++++=China,
, ^zz++++=EXTRAWORD
the ^ati++++=the
initial ^jj++++=initial
epicenter ^jjr++++=epicenter
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
primarily ^rb+down+splt++=primarily
reported ^vprf+++xvbnx+=reported
anxiety ^nn++++=anxiety
disorders ^nns+nom+++=disorders
and ^cc++++=and
common ^jj+atrb+++=common
mental ^jj+atrb+++=mental
disorders ^nns+nom+++=disorders
( ^zz++++=(CMD)
cmd ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
occurrence ^nn+nom+++=occurrence
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
various ^jj+atrb+++=various
countries ^nns++++=countries
( ^zz++++=(Huang
huang ^nn+++??+=EXTRAWORD
& ^zz++++=&
Zhao ^np+++??+=Zhao,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Evidence ^nn+nom+++=Evidence
from ^in++++=from
previous ^jj+atrb+++=previous
studies ^nns++++=studies
on ^in++++=on
similar ^jj+atrb+++=similar
events ^nns++++=events,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Mers ^np+++??+=MERS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
and ^cc++++=and
Sars ^np+++??+=SARS-CoV,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
measures ^nns++++=measures
to ^to++++=to
separate ^nn+nom+++=separate
and ^cc+phrs+++=and
restrict ^vb++++=restrict
the ^ati++++=the
movement ^nn+nom+++=movement
of ^in++++=of
people ^nns++++=people
have ^vb+hv+vrb++=have
a ^at++++=a
significant ^jj+atrb+++=significant
impact ^nn++++=impact
on ^in++++=on
mental ^jj+atrb+++=mental
health ^nn++++=health,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
negative ^jj+atrb+++=negative
psychological ^jj+atrb+++=psychological
outcomes ^nns+++??+=outcomes
such ^abl++++=such
as ^ql++++=as
Cmd ^np+++??+=CMD
( ^zz++++=(Brooks
brooks ^nps++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Jiloha ^np+++??+=Jiloha,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Symptoms ^nns++++=Symptoms
including ^in++++=including
stress ^nn++++=stress,
, ^zz++++=EXTRAWORD
irritability ^nn+nom+++=irritability,
, ^zz++++=EXTRAWORD
insomnia ^nn+++??+=insomnia,
, ^zz++++=EXTRAWORD
post ^nn++++=post-traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
stress ^nn++++=stress
disorder ^nn+nom+++=disorder,
, ^zz++++=EXTRAWORD
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
substance ^nn+nom+++=substance
abuse ^nn++++=abuse,
, ^zz++++=EXTRAWORD
suicide ^nn++++=suicide
attempts ^nns++++=attempts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
self ^nn++++=self-injurious
- ^zz++++=EXTRAWORD
injurious ^jj+atrb+++=EXTRAWORD
behaviors ^nns++++=behaviors
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
observed ^vpsv++agls+xvbnx+=observed
among ^in++++=among
healthcare ^nn+++??+=healthcare
professionals ^nns+nom+++=professionals
and ^cc++++=and
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
stressful ^nn+nom+++=stressful
situations ^nns+nom+++=situations,
, ^zz++++=EXTRAWORD
experience ^nn+nom+++=experience
concerns ^nns++++=concerns
about ^in++++=about
future ^jjb+atrb+++=future
uncertainties ^nns++++=uncertainties
and ^cc++++=and
heightened ^vbd+++xvbn+=heightened
fear ^vb++++=fear
of ^in++++=of
contagion ^nn++++=contagion
and ^cc++++=and
death ^nn++++=death
( ^zz++++=(Brooks
brooks ^nps++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Faro ^np+++??+=Faro
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
study ^nn++++=study
involving ^vwbg+++xvbg+=involving
1,210 ^cd++++=1,210
participants ^nns+nom+++=participants,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
rates ^nns++++=rates
of ^in++++=of
anxiety ^nn++++=anxiety
and ^cc++++=and
depression ^nn++++=depression
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
among ^in++++=among
women ^nns++++=women,
, ^zz++++=EXTRAWORD
students ^nns++++=students,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
with ^in++++=with
symptoms ^nns++++=symptoms
suggestive ^jj++++=suggestive
of ^in++++=of
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
with ^in++++=with
poor ^jj+atrb+++=poor
health ^nn++++=health
perceptions ^nns+nom+++=perceptions,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
access ^nn++++=access
to ^in++++=to
information ^nn+nom+++=information
and ^cc++++=and
engagement ^nn+nom+++=engagement
in ^in++++=in
preventive ^jj+atrb+++=preventive
behaviors ^nns++++=behaviors
such ^abl++++=such
as ^ql++++=as
handwashing ^xvbg+++xvbg+=handwashing
appeared ^vprf+++xvbn+=appeared
to ^to+vcmp+++=to
mitigate ^nn+nom+++=mitigate
these ^dt+dem+++=these
effects ^nns++++=effects
( ^zz++++=(Wang
wang ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
