Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
proportional ^jj+atrb+++=proportional
distribution ^nn+nom+++=distribution
of ^in++++=of
students ^nns++++=students
identified ^vwbn+++xvbn+=identified
as ^ql++++=as
gifted ^jj++++=gifted
and ^cc+phrs+++=and
talented ^jj++++=talented
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+dem+++=these
students ^nns++++=students,
, ^zz++++=EXTRAWORD
73.1 ^cd++++=73.1%
% ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
male ^jj+pred+++=male
and ^cc++++=and
26.9 ^cd++++=26.9%
% ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
female ^nn++++=female,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
only ^rb+down+++=only
14,545 ^cd++++=14,545
female ^jj+atrb+++=female
students ^nns++++=students
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
total ^nn++++=total
of ^in++++=of
47.8 ^cd++++=47.8
million ^cd++++=million
registered ^jj+atrb+++=registered
enrollments ^nns+nom+++=enrollments
in ^in++++=in
brazil ^np++++=Brazil
( ^zz++++=(INEP,
inep ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
